split,method,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
butina,pub_rf,0.7345746517624459,0.13825499103138003,0.20360057081828348,0.16685480874294517,0.47110376264615506,0.1630436622975964
butina,pub_xgboost,0.7342178015396449,0.13481842257322038,0.15442540434882912,0.2443522706631061,0.4591557407216392,0.16922631773246938
butina,pub_mlp,0.7725527203083038,0.14702765631241999,0.06326445460319519,0.2913146509784461,0.43973111628355255,0.16906703193927983
butina,pub_gnn,0.856642199754715,0.17757009622974881,-0.1340721893310547,0.3755387789129913,0.3765598469438228,0.1715314351415821
diverse_25,knn,0.7933030740233964,0.1088982400983661,0.09234051709830148,0.2474999148575296,0.4240615689273913,0.13712795981615244
diverse_25,lgbm,0.753228992378868,0.0793222782468957,0.19491092603274646,0.1941408964250963,0.46365566826707594,0.1488330243577079
diverse_25,chemeleon,0.7539455406132511,0.09715632877644106,0.1932675537815235,0.21734973093777588,0.47654075101222704,0.14804976456476188
diverse_25,monroe35,0.7183428509122747,0.09305443554575006,0.2833085395645475,0.1843230825449368,0.5243069771588824,0.14449636013872943
diverse_25,median,0.9068443000040841,0.11810283879101469,-0.04209570835028522,0.04860050627827289,,
diverse_25,pub_knn,0.7930497482205205,0.0961750619069671,0.0925043249665154,0.30501831563777226,0.4279600685636699,0.13504315738697284
diverse_25,pub_svm,0.7589283579254023,0.08820978704039888,0.22090508173314516,0.1705291069020526,0.47600855238823186,0.15430337070641442
diverse_25,pub_rf,0.7531463865699414,0.08406764057861554,0.23676842676128765,0.15110386633402256,0.4872611630651004,0.13976361189460113
diverse_25,pub_xgboost,0.7748126926425745,0.09369795741625979,0.17148965409100633,0.19480932681873708,0.4301311449155246,0.15177022839018478
diverse_25,pub_mlp,0.7814319109916688,0.09916324049546824,0.15612573027610777,0.19508991951749038,0.45156979329058716,0.16299590799099428
diverse_25,pub_gnn,0.8933365404605865,0.11164648766848359,-0.04134920120239257,0.1702359821943759,0.200199061122853,0.22953498269274727
umap,knn,0.8930389886665622,0.13014580518705543,-0.2923998027207675,0.2783967716978209,0.18675226203177606,0.1562101300172396
umap,lgbm,0.8337807491759984,0.14063988140541758,-0.12049463696996648,0.3219678563759236,0.25587571461802416,0.2381385228662772
umap,chemeleon,0.8078256600114031,0.17343855421343268,-0.08823468245128206,0.4204193371793772,0.3134147512654234,0.24246420158866697
umap,monroe35,0.7767911496098177,0.1222510454379346,0.02912975675421813,0.270701325402206,0.32452686317066487,0.25773041742852587
umap,median,0.8982598191791514,0.1713471135321297,-0.210286779730638,0.4216074449242486,,
umap,pub_knn,0.893038988590618,0.1301458054162072,-0.2923998023085027,0.27839677170438687,0.18675812565202426,0.15621000602659066
umap,pub_svm,0.8150308858014984,0.14027192418491893,-0.04814702351807194,0.3060948833414739,0.2957751764555446,0.22097561774654823
umap,pub_rf,0.8331141522028382,0.14278382655404448,-0.024119024341185496,0.2581841173701457,0.269418461268886,0.23203531111821285
umap,pub_xgboost,0.8439070601710966,0.1396197472606557,-0.15850234410128572,0.3641565853958472,0.23743210378233737,0.23745874990315757
umap,pub_mlp,0.858999695777893,0.17051275355967993,-0.21663018822669983,0.422064424733436,0.27320863376999754,0.21463814922311966
umap,pub_gnn,0.9233644831180573,0.19531597150470728,-0.425528050661087,0.6395568028311588,0.23090366526453324,0.2731425341138811
time,knn,0.9295119297909257,0.14139823427535153,-0.23914850749883332,0.40200830086063294,0.26358777094228053,0.19185474581956447
time,lgbm,0.8507097188457438,0.12867944729712374,-0.04057322137616226,0.32596225867403267,0.31931954855503475,0.19566141737090326
time,chemeleon,0.8312185180116384,0.12355735339588526,-0.007352699507579814,0.3386261038071768,0.3630193287361269,0.23310710060464082
time,monroe35,0.7983178412650419,0.1250987268173751,0.10438874713421396,0.25475871601189487,0.3784882434886623,0.23014599430497268
time,median,0.9397236253547877,0.1458583182231541,-0.08967614918966388,0.10245288597844396,,
time,pub_knn,0.9295119299539438,0.14139823426868348,-0.23914850776192917,0.4020083008990082,0.2635080024984106,0.19190141683624293
time,pub_svm,0.8327904925630151,0.12454952412418908,0.04548100691961704,0.23915228856247644,0.3503680236612918,0.21796154749862573
time,pub_rf,0.8286628612029552,0.11910995610240076,0.06630387051358608,0.22085429373932844,0.3267192691975008,0.21605264058670282
time,pub_xgboost,0.854571397067361,0.13182785356848928,-0.051244273011194934,0.32179288351405544,0.3038537238785941,0.22090191276527732
time,pub_mlp,0.872268453836441,0.1410619628284123,-0.08876853942871094,0.3133027565076587,0.31203225312113486,0.2165543132649258
time,pub_gnn,0.9959531497955322,0.18499750999414977,-0.4056511080265045,0.5135101868664878,0.27547788520990885,0.2269523922115818
