split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
random,r2,t,chemeleon,pub_xgboost,50,-0.029841754485922096,0.054458406979718564,0.28,0.00031709446248096154,0.004756416937214423
random,r2,t,chemeleon,pub_mlp,50,-0.04100651610475179,0.0524002352622423,0.22,1.2137447924379552e-06,2.306115105632115e-05
random,r2,t,chemeleon,pub_gnn,50,-0.19369863379579183,0.0783923766664558,0.0,1.0886545585970672e-22,4.7900800578270954e-21
random,r2,t,monroe35,median,50,-0.6853218524064033,0.07777742650716245,0.0,2.5223591591011024e-48,1.3872975375056063e-46
random,r2,t,monroe35,pub_knn,50,-0.09614172422999669,0.06902160991109291,0.02,3.322908611508865e-13,1.1962471001431912e-11
random,r2,t,monroe35,pub_svm,50,-0.030619566402809564,0.032247801269177485,0.16,1.8402201921223424e-08,4.2325064418813876e-07
random,r2,t,monroe35,pub_rf,50,-0.04424794785035543,0.03670165127341008,0.04,3.0432288228976416e-11,9.736747420629678e-10
random,r2,t,monroe35,pub_xgboost,50,-0.06040563847407699,0.05010344240935278,0.06,3.0427335689467744e-11,9.736747420629678e-10
random,r2,t,monroe35,pub_mlp,50,-0.07157040009290669,0.04652771952959149,0.04,1.1483505524338158e-14,4.3637320992485e-13
random,r2,t,monroe35,pub_gnn,50,-0.2242625177839468,0.0742253695508205,0.0,1.7614489632797045e-26,7.92652033475867e-25
random,r2,t,median,pub_knn,50,0.5891801281764066,0.10505889503156299,1.0,6.72401141106596e-39,3.2275254023690085e-37
random,r2,t,median,pub_svm,50,0.6547022860035938,0.08200328154962927,1.0,2.9654170422672256e-46,1.6013252028243018e-44
random,r2,t,median,pub_rf,50,0.6410739045560478,0.08150462971397576,1.0,6.097483265594585e-46,3.23166613076513e-44
random,r2,t,median,pub_xgboost,50,0.6249162139323263,0.09485122410273222,1.0,3.066223288065439e-42,1.502449411152065e-40
random,r2,t,median,pub_mlp,50,0.6137514523134966,0.09138074863192294,1.0,1.2181912867919838e-42,6.090956433959919e-41
random,r2,t,median,pub_gnn,50,0.4610593346224566,0.11577099354997536,1.0,6.405105348625366e-32,2.9463484603676684e-30
random,r2,t,pub_knn,pub_svm,50,0.06552215782718712,0.060571534802251165,0.9,6.598639515040979e-10,1.9795918545122937e-08
random,r2,t,pub_knn,pub_rf,50,0.05189377637964127,0.05243825059827415,0.92,6.689611436431621e-09,1.6724028591079053e-07
random,r2,t,pub_knn,pub_xgboost,50,0.035736085755919696,0.07091128035548026,0.82,0.0008272246627142914,0.010753920615285788
random,r2,t,pub_knn,pub_mlp,50,0.024571324137090008,0.06048361935202994,0.7,0.006001216049194769,0.05401094444275292
random,r2,t,pub_knn,pub_gnn,50,-0.12812079355395004,0.0984816662265381,0.06,2.9824664648004526e-12,1.0140385980321539e-10
random,r2,t,pub_svm,pub_rf,50,-0.013628381447545855,0.028449948329766894,0.32,0.0013998079167878985,0.015397887084666884
random,r2,t,pub_svm,pub_xgboost,50,-0.029786072071267426,0.03368460722735094,0.16,9.53443904789917e-08,2.0022322000588256e-06
random,r2,t,pub_svm,pub_mlp,50,-0.040950833690097124,0.03939773212280339,0.1,1.9082520455874337e-09,5.343105727644815e-08
random,r2,t,pub_svm,pub_gnn,50,-0.19364295138113716,0.07973090476005618,0.0,2.253529509537938e-22,9.690176891013133e-21
random,r2,t,pub_rf,pub_xgboost,50,-0.01615769062372157,0.03857563874780996,0.38,0.004706793353125152,0.04706793353125152
random,r2,t,pub_rf,pub_mlp,50,-0.027322452242551264,0.0376201180809782,0.3,4.852381338830051e-06,8.734286409894091e-05
random,r2,t,pub_rf,pub_gnn,50,-0.1800145699335913,0.08032160889233826,0.0,6.4114678804340335e-21,2.692816509782294e-19
random,r2,t,pub_xgboost,pub_mlp,50,-0.011164761618829693,0.053287257478285714,0.46,0.14486738531517632,0.434602155945529
random,r2,t,pub_xgboost,pub_gnn,50,-0.16385687930986972,0.09004105843023247,0.02,2.478008265685443e-17,9.912033062741772e-16
random,r2,t,pub_mlp,pub_gnn,50,-0.15269211769104005,0.08397153596830989,0.0,2.5527808251580823e-17,9.95584521811652e-16
random,r2,wilcoxon,knn,lgbm,50,0.042528952888602485,0.06718171937975427,0.82,1.4422642710343325e-05,0.0002461653676419928
