bin,n,mean_sigma,mean_abs_error,endpoint,method
7,26,0.07569532952743198,0.241950291953644,LOG_MGMB,uni_M_lgbm
0,27,0.011458923986477847,0.1960458980898558,LOG_MGMB,uni_M_rf
1,26,0.016107712484710338,0.20420300043566872,LOG_MGMB,uni_M_rf
2,26,0.018447844528261814,0.2519390535390719,LOG_MGMB,uni_M_rf
3,26,0.021339082730151678,0.23144719617227538,LOG_MGMB,uni_M_rf
4,26,0.023788889176821964,0.28954957567368267,LOG_MGMB,uni_M_rf
5,26,0.027047378211206022,0.19294826086553146,LOG_MGMB,uni_M_rf
6,26,0.031618606403850044,0.25060490363085586,LOG_MGMB,uni_M_rf
7,26,0.04105076561357526,0.2707507351247239,LOG_MGMB,uni_M_rf
0,27,0.013501526564699776,0.17327908332156491,LOG_MGMB,uni_R_lgbm
1,26,0.02182319023177054,0.157556961467094,LOG_MGMB,uni_R_lgbm
2,26,0.027270808127587406,0.20841491352802363,LOG_MGMB,uni_R_lgbm
3,26,0.032684815296479944,0.2370561752312567,LOG_MGMB,uni_R_lgbm
4,26,0.03795468562161029,0.2406608778929495,LOG_MGMB,uni_R_lgbm
5,26,0.04463301854565706,0.24667422505849362,LOG_MGMB,uni_R_lgbm
6,26,0.05222948490119172,0.28103094127363437,LOG_MGMB,uni_R_lgbm
7,26,0.07143996690302747,0.2825632562586476,LOG_MGMB,uni_R_lgbm
0,27,0.011355189681810755,0.19582062926691726,LOG_MGMB,uni_R_rf
1,26,0.017617611894983856,0.17576370659856205,LOG_MGMB,uni_R_rf
2,26,0.0219595739173895,0.2125811228380164,LOG_MGMB,uni_R_rf
3,26,0.026006148028914045,0.24921749128206253,LOG_MGMB,uni_R_rf
4,26,0.030109355356436242,0.18761319730769752,LOG_MGMB,uni_R_rf
5,26,0.034830362199797626,0.34813086907923435,LOG_MGMB,uni_R_rf
6,26,0.04025197154156322,0.21433412453070366,LOG_MGMB,uni_R_rf
7,26,0.052299266887626865,0.2700310099019102,LOG_MGMB,uni_R_rf
0,27,0.021647239896310004,0.21006223190262366,LOG_MGMB,uni_S_lgbm
1,26,0.0367281607573514,0.20492226829095134,LOG_MGMB,uni_S_lgbm
2,26,0.04742221259378425,0.2512429432756325,LOG_MGMB,uni_S_lgbm
3,26,0.057194002633850036,0.3432449406606372,LOG_MGMB,uni_S_lgbm
4,26,0.07073457544234046,0.2798680489601116,LOG_MGMB,uni_S_lgbm
5,26,0.08643442382762999,0.2752762873900265,LOG_MGMB,uni_S_lgbm
6,26,0.10579029961049052,0.3467505024102462,LOG_MGMB,uni_S_lgbm
7,26,0.1433028519317985,0.22972371292148944,LOG_MGMB,uni_S_lgbm
0,27,0.024981274088126403,0.1527864636276304,LOG_MGMB,uni_S_rf
1,26,0.03731038543213014,0.2393066208537366,LOG_MGMB,uni_S_rf
2,26,0.04738181174215247,0.4007935221404396,LOG_MGMB,uni_S_rf
3,26,0.06040349643261396,0.26029593936753054,LOG_MGMB,uni_S_rf
4,26,0.06931088720827136,0.27776377031212107,LOG_MGMB,uni_S_rf
5,26,0.08276394103714176,0.28840294129503036,LOG_MGMB,uni_S_rf
6,26,0.10641413901718765,0.24957872741035556,LOG_MGMB,uni_S_rf
7,26,0.14596191241077308,0.29247026150574285,LOG_MGMB,uni_S_rf
0,147,0.029720296121583972,0.31832930442685636,LOG_MLM,chemeleon
1,146,0.043666841869816245,0.2922276862903534,LOG_MLM,chemeleon
2,146,0.05341132416674626,0.3736730467137592,LOG_MLM,chemeleon
3,146,0.06283759230400424,0.3944960870547075,LOG_MLM,chemeleon
4,146,0.07512015956843934,0.3705597104269918,LOG_MLM,chemeleon
5,146,0.08997271684311327,0.4195635046682036,LOG_MLM,chemeleon
6,146,0.11726434979094044,0.3703732387077931,LOG_MLM,chemeleon
7,147,0.15966515162997827,0.3879629265869281,LOG_MLM,chemeleon
0,147,0.02272179782234029,0.34517093478876526,LOG_MLM,chemprop
1,146,0.03495851459184111,0.34147064525037596,LOG_MLM,chemprop
2,146,0.04424481059592696,0.388902726793834,LOG_MLM,chemprop
3,146,0.052947661328206816,0.4104848292376063,LOG_MLM,chemprop
4,146,0.060934871870093214,0.40847217354798776,LOG_MLM,chemprop
5,146,0.06978726026518593,0.4342347914865756,LOG_MLM,chemprop
6,146,0.08051841230607767,0.5141387363095618,LOG_MLM,chemprop
7,147,0.10265813299870288,0.4342416112455907,LOG_MLM,chemprop
