endpoint,metric,method,label,mean,sd,tukey_group
LOG_Caco_Efflux,mae,chemeleon,ChemProp + CheMeleon,0.3749717271764314,0.03399618238519661,best
LOG_Caco_Efflux,mae,uni_R_rf,RF - RDKit,0.38521490237671857,0.01196262168453812,equivalent
LOG_Caco_Efflux,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.37667711757609185,0.013176954494388063,equivalent
LOG_MPPB,r2,lgbm,LightGBM + Morgan,0.2285323344203973,0.10501209562575432,worse
LOG_MPPB,r2,chemprop_st,ChemProp single-task,0.12048783485390828,0.16799822936855735,worse
LOG_MPPB,r2,chemprop,ChemProp multi-task,0.4448302530718798,0.07155785736829279,worse
LOG_MPPB,r2,chemeleon,ChemProp + CheMeleon,0.5410180168490002,0.09292757953922542,best
LOG_MPPB,r2,uni_R_rf,RF - RDKit,0.1815924596639159,0.04179201167358189,worse
LOG_MPPB,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.12632023688402652,0.11452976052705177,worse
LOG_MPPB,spearman,lgbm,LightGBM + Morgan,0.610524177350273,0.0414442196030286,worse
LOG_MPPB,spearman,chemprop_st,ChemProp single-task,0.5110738001462346,0.060737169793884764,worse
LOG_MPPB,spearman,chemprop,ChemProp multi-task,0.7012599083069491,0.029930951685734966,worse
LOG_MPPB,spearman,chemeleon,ChemProp + CheMeleon,0.7815875111570856,0.034370229499195465,best
LOG_MPPB,spearman,uni_R_rf,RF - RDKit,0.5465280316213896,0.026253673184360733,worse
LOG_MPPB,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5853640118374022,0.02400443507292992,worse
LOG_MPPB,mae,lgbm,LightGBM + Morgan,0.2881213798809229,0.020350659191361975,worse
LOG_MPPB,mae,chemprop_st,ChemProp single-task,0.29366520397249074,0.029807015117284445,worse
LOG_MPPB,mae,chemprop,ChemProp multi-task,0.23361227012368574,0.013622853184368367,worse
LOG_MPPB,mae,chemeleon,ChemProp + CheMeleon,0.21206700027103018,0.02128247859680007,best
LOG_MPPB,mae,uni_R_rf,RF - RDKit,0.29396585576704765,0.007701927938322408,worse
LOG_MPPB,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.3000986231507625,0.02027311183647318,worse
LOG_MBPB,r2,lgbm,LightGBM + Morgan,0.4765802314737563,0.08024368215870219,worse
LOG_MBPB,r2,chemprop_st,ChemProp single-task,0.41293933948046174,0.10319826475947821,worse
LOG_MBPB,r2,chemprop,ChemProp multi-task,0.6418833764374102,0.036944872780290614,worse
LOG_MBPB,r2,chemeleon,ChemProp + CheMeleon,0.7126556881215871,0.06095235257644913,best
LOG_MBPB,r2,uni_R_rf,RF - RDKit,0.505307340127271,0.030261733528186525,worse
LOG_MBPB,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5167186663309176,0.0730331730292961,worse
LOG_MBPB,spearman,lgbm,LightGBM + Morgan,0.696477517953552,0.04242148051265928,worse
LOG_MBPB,spearman,chemprop_st,ChemProp single-task,0.7061165294784462,0.041607575704714544,worse
