endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_MBPB,fus_GR_late_lgbm,LGBM | Late | GNN + RDKit,25,0.5068064087852364,0.041912243060617284,0.7823049323708011,0.012945698205758862,0.2148249946915531,0.012275062239937545
LOG_MBPB,fus_GR_late_rf,RF | Late | GNN + RDKit,25,0.5029838456365074,0.04652747527251907,0.7780762386291852,0.01614572840760767,0.21680371475609775,0.013324107185939078
LOG_MBPB,lgbm,LightGBM + Morgan,25,0.4765802314737563,0.08024368215870219,0.696477517953552,0.04242148051265928,0.222813035468897,0.018243204973775823
LOG_MBPB,uni_G_attfp,AttentiveFP,25,0.48038621036379053,0.07651086214901327,0.7655927589996147,0.0211100469074536,0.2134669420277914,0.017174317019390945
LOG_MBPB,uni_G_lgbm,LGBM - GNN,25,0.49797466156374254,0.05774530143657609,0.7667695790691934,0.0195488865003685,0.2116742726881136,0.015294469950959453
LOG_MBPB,uni_G_rf,RF - GNN,25,0.493806251171023,0.0558306819305384,0.7680969941228531,0.018841222017118846,0.20969401907581747,0.014570109331282085
LOG_MBPB,uni_M_lgbm,LGBM - Mol2Vec,25,0.40310829161687195,0.06784663016102009,0.6824313019668656,0.030739802629738956,0.2423266052187778,0.017697275060469617
LOG_MBPB,uni_M_rf,RF - Mol2Vec,25,0.3770642291639916,0.03605394911400918,0.6760482101028531,0.016337714907534058,0.2540286249635538,0.008380394318818552
LOG_MBPB,uni_R_lgbm,LGBM - RDKit,25,0.4593814874045423,0.07041190897842568,0.7461194348674036,0.025370874152917437,0.231882061401589,0.01822381258017793
LOG_MBPB,uni_R_rf,RF - RDKit,25,0.505307340127271,0.030261733528186525,0.747246222341661,0.018544901724468803,0.2229633328892522,0.007709294972697405
LOG_MBPB,uni_S_lgbm,LGBM - SMILES,25,0.2857218713135795,0.14075880418277367,0.6330838902687861,0.07949962829645424,0.26392665689521694,0.030474882175031217
LOG_MBPB,uni_S_rf,RF - SMILES,25,0.28540085616564675,0.14887144302247832,0.6130863588105688,0.08987737552224347,0.265328565059741,0.03180911138366537
LOG_MGMB,chemeleon,ChemProp + CheMeleon,25,0.6415650144861139,0.026681551469676917,0.8082907930463228,0.012715447187190804,0.1750335532577769,0.015205641655340291
LOG_MGMB,chemprop,ChemProp multi-task,25,0.6162857491201964,0.01973556822186554,0.7730155144504381,0.013901383442308974,0.18508525070036103,0.009047581125768582
LOG_MGMB,chemprop_st,ChemProp single-task,25,0.27903153624906296,0.06272932638862519,0.3882452456825305,0.06916949719581297,0.30389546754559477,0.017763926019422636
LOG_MGMB,fus_GRMS_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.16271304439569334,0.30508426266629546,0.5934622723846554,0.10064236333023088,0.30710577827499924,0.056583977539041035
LOG_MGMB,fus_GRMS_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.4432952154316099,0.09631376094780772,0.692214399992091,0.034024971357192804,0.23896951755462179,0.02789538888675429
