endpoint,method,readout_200d,atom_mean_30d,difference,label
LOG_MPPB,fus_GR_early_lgbm,-0.0743004036985834,0.09173242308834284,-0.16603282678692624,LGBM | Early | GNN + RDKit
LOG_MPPB,fus_GR_late_lgbm,0.016119001746012534,0.016119001746012534,0.0,LGBM | Late | GNN + RDKit
LOG_MPPB,uni_G_lgbm,-0.12257672054855315,0.04842970493329515,-0.1710064254818483,LGBM - GNN
LogD,fus_GRMS_early_lgbm,0.5836766681493716,0.41813744820426885,0.16553921994510273,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES
LogD,fus_GRMS_late_lgbm,0.46653188903935977,0.46653188903935977,0.0,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES
LogD,fus_GRM_early_lgbm,0.5893590793085056,0.4440784809880512,0.14528059832045442,LGBM | Early | GNN + RDKit + Mol2Vec
LogD,fus_GRM_late_lgbm,0.4327326167701463,0.4327326167701463,0.0,LGBM | Late | GNN + RDKit + Mol2Vec
LogD,fus_GRS_early_lgbm,0.5834579735639938,0.42118486964633683,0.16227310391765692,LGBM | Early | GNN + RDKit + SMILES
LogD,fus_GRS_late_lgbm,0.46050926042200885,0.46050926042200885,0.0,LGBM | Late | GNN + RDKit + SMILES
LogD,fus_GR_early_lgbm,0.5883019019578145,0.4585897871619573,0.1297121147958572,LGBM | Early | GNN + RDKit
LogD,fus_GR_late_lgbm,0.43051466095748486,0.43051466095748486,0.0,LGBM | Late | GNN + RDKit
LogD,uni_G_lgbm,0.5782516370603364,0.2602944073531594,0.31795722970717705,LGBM - GNN
LogS,fus_GRMS_early_lgbm,0.21231218823062734,0.06246534102596935,0.149846847204658,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES
LogS,fus_GRMS_late_lgbm,0.08939972759164207,0.08939972759164207,0.0,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES
LogS,fus_GRM_early_lgbm,0.2596299212255295,0.12208675411806053,0.137543167107469,LGBM | Early | GNN + RDKit + Mol2Vec
LogS,fus_GRM_late_lgbm,0.12287824008015591,0.12287824008015591,0.0,LGBM | Late | GNN + RDKit + Mol2Vec
LogS,fus_GRS_early_lgbm,0.21057886706692291,0.06725685912706746,0.14332200793985544,LGBM | Early | GNN + RDKit + SMILES
LogS,fus_GRS_late_lgbm,0.07578607016859795,0.07578607016859795,0.0,LGBM | Late | GNN + RDKit + SMILES
LogS,fus_GR_early_lgbm,0.20367160506987253,0.16873650645667898,0.03493509861319355,LGBM | Early | GNN + RDKit
LogS,fus_GR_late_lgbm,0.09937057270678233,0.09937057270678233,0.0,LGBM | Late | GNN + RDKit
LogS,uni_G_lgbm,0.25876884885720275,0.10811466368313184,0.15065418517407092,LGBM - GNN
