endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LOG_MDR1_ER,4,1,1482,356,804,kpgt,wide_chem,xgb,0.5670294301376628,2048
LOG_MDR1_ER,4,2,1470,368,804,chem,wide_chem,xgb,0.5775057724537054,2048
LOG_MDR1_ER,4,3,1494,344,804,fused,core_maccs_fcfp,xgb,0.5886630388510042,2048
LOG_MDR1_ER,4,4,1467,371,804,kpgt,core_pair_torsion,xgb,0.452492579261337,2048
LOG_HPPB,0,0,95,33,66,unimol,wide_chem,xgb,0.648109741264759,2048
LOG_HPPB,0,1,103,25,66,chem,core_pair_torsion,xgb,0.6593752740068757,2048
LOG_HPPB,0,2,107,21,66,kpgt,wide_chem,xgb,0.5266710001688077,2048
LOG_HPPB,0,3,97,31,66,kpgt,wide_chem,xgb,0.26366473173595983,2048
LOG_HPPB,0,4,110,18,66,fused,core_maccs_fcfp,xgb,0.5931292927025814,2048
LOG_HPPB,1,0,107,21,66,unimol,wide_chem,xgb,0.5495043094938223,2048
LOG_HPPB,1,1,105,23,66,chem,core_pair_torsion,xgb,0.4125880058700401,2048
LOG_HPPB,1,2,105,23,66,kpgt,core_pair_torsion,xgb,0.6583808352318232,2048
LOG_HPPB,1,3,100,28,66,chem,core_maccs_fcfp,xgb,0.6864370250186766,2048
LOG_HPPB,1,4,95,33,66,fused,wide_chem,xgb,0.3914193946411305,2048
LOG_HPPB,2,0,115,13,66,chemberta,core_pair_torsion,xgb,0.20198590446267006,2048
LOG_HPPB,2,1,102,26,66,chem,core_pair_torsion,xgb,0.6638714060983262,2048
LOG_HPPB,2,2,104,24,66,unimol,core_maccs_fcfp,xgb,0.6523026511020582,2048
LOG_HPPB,2,3,87,41,66,chem,core_maccs_fcfp,xgb,0.5540764678208063,2048
LOG_HPPB,2,4,104,24,66,fused,core_maccs_fcfp,ridge,0.4993312992865391,2048
LOG_HPPB,3,0,110,18,66,unimol,wide_chem,xgb,0.062175183316884985,2048
LOG_HPPB,3,1,98,30,66,chem,core_maccs_fcfp,xgb,0.6710625510168935,2048
LOG_HPPB,3,2,109,19,66,kpgt,wide_chem,xgb,0.1630106983305052,2048
LOG_HPPB,3,3,93,35,66,unimol,core_pair_torsion,xgb,0.5175133632043282,2048
LOG_HPPB,3,4,102,26,66,kpgt,core_pair_torsion,xgb,0.5970419226431337,2048
LOG_HPPB,4,0,97,31,66,kpgt,core_pair_torsion,ridge,0.6848103420095611,2048
