endpoint,config,repeat,fold,n_features,ridge_val_r2
LogS,r2_dm2_max_cep,0,0,723,0.4273762682832005
LOG_HLM,r2_dm2_max_cep,0,0,661,0.3384234081228249
LOG_MLM,r2_dm2_max_cep,0,0,721,0.5380035570547268
LOG_Caco_AB,r2_dm2_max_cep,0,0,462,0.07636497985543078
LOG_Caco_Efflux,r2_dm2_max_cep,0,0,360,0.4660797337797581
LOG_MPPB,r2_dm2_max_cep,0,0,422,0.5570858370874395
LOG_MBPB,r2_dm2_max_cep,0,0,330,0.287541974280177
LOG_MGMB,r2_dm2_max_cep,0,0,116,-0.1595785881537104
LogD,r2_dm2_max_nofrag,0,0,897,0.6182937268193691
LogS,r2_dm2_max_nofrag,0,0,718,0.45322337227081033
LOG_HLM,r2_dm2_max_nofrag,0,0,685,0.29404907120863333
LOG_MLM,r2_dm2_max_nofrag,0,0,681,0.52465996234093
LOG_Caco_AB,r2_dm2_max_nofrag,0,0,481,0.03076729520894861
LOG_Caco_Efflux,r2_dm2_max_nofrag,0,0,353,0.4859664402834719
LOG_MPPB,r2_dm2_max_nofrag,0,0,415,0.5201027595317428
LOG_MBPB,r2_dm2_max_nofrag,0,0,332,0.3121353517286538
LOG_MGMB,r2_dm2_max_nofrag,0,0,116,-0.3330799748549238
LogD,r2_dm2_sum_cep,0,0,1150,0.6175131719258289
LogS,r2_dm2_sum_cep,0,0,905,0.4382077745470013
LOG_HLM,r2_dm2_sum_cep,0,0,815,0.3433055732675817
LOG_MLM,r2_dm2_sum_cep,0,0,944,0.49266952159899446
LOG_Caco_AB,r2_dm2_sum_cep,0,0,607,0.052969560337738364
LOG_Caco_Efflux,r2_dm2_sum_cep,0,0,470,0.4012677721102844
LOG_MPPB,r2_dm2_sum_cep,0,0,481,0.39272947931828095
LOG_MBPB,r2_dm2_sum_cep,0,0,400,0.3099241717677229
LOG_MGMB,r2_dm2_sum_cep,0,0,128,0.5373863329145123
LogD,r2_dm2_sum_nofrag,0,0,1176,0.6166250603056193
LogS,r2_dm2_sum_nofrag,0,0,935,0.4459576736771592
LOG_HLM,r2_dm2_sum_nofrag,0,0,860,0.2888086837467927
LOG_MLM,r2_dm2_sum_nofrag,0,0,937,0.5046393582665037
LOG_Caco_AB,r2_dm2_sum_nofrag,0,0,604,0.007150162717828312
