task,dimension,model,dataset,split,fold,seed,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,config,gap,objective_with_penalty,test_mse,train_mae,train_mse,train_pearson_r,train_r2,train_rmse,train_spearman_r,val_mse,val_pearson_r,val_spearman_r
regressor,2d,gnn,279,butina,5,42,0.5759881138801575,0.754518764105788,0.5397442579269409,0.8049651384353638,1.0532331824274064,0.11631250381469727,0.480731725692749,0.4574812999069995,"{'hidden_dim': 400, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.14845611242034742, 'aggregation': 'sum', 'lr': 0.0007838004854816252, 'weight_decay': 2.5505520436942003e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.173316354402423,0.754518764105788,1.109300136566162,0.4383782148361206,0.33779624104499817,0.8532928228378296,0.7169489860534668,0.581202409703365,0.8543918143031202,0.5692985653877258,0.7418529987335205,0.7477501682473624
regressor,2d,gnn,279,butina,3,42,0.553247332572937,0.7092109507291359,0.6085766553878784,0.9511202573776245,1.2857311783165262,-0.6618591547012329,0.3381854295730591,0.32652730778464195,"{'hidden_dim': 200, 'n_layers': 3, 'ffn_hidden_dim': 200, 'ffn_n_layers': 2, 'dropout': 0.06219033198370966, 'aggregation': 'sum', 'lr': 0.0009947632067874063, 'weight_decay': 1.1281504543761933e-06, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.09212280986137888,0.7092109507291359,1.6531046628952026,0.4689081609249115,0.38079777359962463,0.8467272520065308,0.6987144947052002,0.617088140867757,0.8467372768594084,0.5029801726341248,0.7827322483062744,0.7814826265962482
regressor,2d,gnn,279,butina,2,42,0.5746492147445679,0.7803133881502364,0.4917677640914917,0.9238137602806091,1.2343906449883741,0.04002499580383301,0.49315595626831055,0.38323708247627675,"{'hidden_dim': 200, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.0008964338806827336, 'aggregation': 'sum', 'lr': 0.0009135577102336859, 'weight_decay': 1.796446185500153e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.3363599233830559,0.7803133881502364,1.5237202644348145,0.33605390787124634,0.19709467887878418,0.9084484577178955,0.8226946592330933,0.4439534647671805,0.9046642141319969,0.6088889837265015,0.7226478457450867,0.7439103862933625
regressor,2d,gnn,279,butina,4,42,0.6607016324996948,0.8295160881606972,0.4390789270401001,0.849574625492096,1.0902042681351376,-0.2755091190338135,0.23619221150875092,0.2492039489222761,"{'hidden_dim': 100, 'n_layers': 5, 'ffn_hidden_dim': 300, 'ffn_n_layers': 3, 'dropout': 0.00472470843672618, 'aggregation': 'mean', 'lr': 0.0005896902543045202, 'weight_decay': 1.1742295896112573e-05, 'batch_size': 50, 'optimizer': 'adam', 'loss_strategy': 'huber'}",-0.14465907494444696,0.8295160881606972,1.1885453462600708,0.5233458876609802,0.46902912855148315,0.7996116280555725,0.636737585067749,0.6848570132162503,0.8029977282985046,0.6880969405174255,0.678494393825531,0.6798443291661325
regressor,2d,gnn,279,butina,1,42,0.5493173599243164,0.7000103949728663,0.617249608039856,0.9722987413406372,1.2300586319726858,-0.21699786186218262,0.33080580830574036,0.35340016395275764,"{'hidden_dim': 400, 'n_layers': 5, 'ffn_hidden_dim': 300, 'ffn_n_layers': 2, 'dropout': 0.10810694886678196, 'aggregation': 'sum', 'lr': 0.0005287071393175373, 'weight_decay': 4.4286042319647375e-05, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'huber'}",-0.10091096486681406,0.7000103949728663,1.5130442380905151,0.4526417553424835,0.3589201271533966,0.8375508785247803,0.698656439781189,0.5990994301060523,0.8371487942654987,0.49001455307006836,0.79143226146698,0.7842726544306616
regressor,2d,gnn,279,diverse_25,5,42,0.8350576162338257,1.0076070768378118,6.896257400512695e-05,1.0267752408981323,1.1792009878836367,-0.00010406970977783203,-0.047172531485557556,0.008747834874952691,"{'hidden_dim': 500, 'n_layers': 4, 'ffn_hidden_dim': 100, 'ffn_n_layers': 2, 'dropout': 0.15903864290598885, 'aggregation': 'mean', 'lr': 0.0009529525574415267, 'weight_decay': 2.110004853688513e-05, 'batch_size': 100, 'optimizer': 'adam', 'loss_strategy': 'mse'}",0.08555715577981604,1.0076070768378118,1.3905149698257446,0.9157092571258545,1.1950080394744873,0.10614864528179169,-0.017452716827392578,1.0931642326176279,0.11265925580278617,1.0152720212936401,0.10414178669452667,0.1300656978561504
regressor,2d,gnn,279,diverse_25,3,42,0.9389774799346924,1.120703439855415,0.03299945592880249,0.8328759670257568,0.9777906096102915,0.012038111686706543,0.24352522194385529,0.22287835434587902,"{'hidden_dim': 100, 'n_layers': 2, 'ffn_hidden_dim': 300, 'ffn_n_layers': 3, 'dropout': 0.13294871527046834, 'aggregation': 'mean', 'lr': 0.00026231955929056553, 'weight_decay': 1.8682351889403336e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'mae'}",-0.026397017058682026,1.120703439855415,0.9560744762420654,0.9150215983390808,1.1975065469741821,0.18275737762451172,0.02978670597076416,1.094306422796733,0.18683460475091418,1.2559762001037598,0.18533657491207123,0.212147876851182
regressor,2d,gnn,279,diverse_25,2,42,0.8622015714645386,1.0153369201560065,0.010655224323272705,0.8483577370643616,1.0314692061982589,-0.07744348049163818,-0.10932908952236176,-0.14138112599091868,"{'hidden_dim': 300, 'n_layers': 2, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.2972468042942345, 'aggregation': 'mean', 'lr': 0.00010751643388858857, 'weight_decay': 5.889892137207742e-06, 'batch_size': 100, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",0.14171692829172344,1.0153369201560065,1.0639287233352661,0.9802316427230835,1.3387736082077026,-0.036908719688653946,-0.04244351387023926,1.15705384844773,-0.0518380454975447,1.0309090614318848,0.12394896149635315,0.10650878154109224
regressor,2d,gnn,279,diverse_25,4,42,0.9329953193664551,1.1191486138662834,0.007182300090789795,0.9773191213607788,1.1437255835923492,-0.014268636703491211,0.09447624534368515,0.1381105758176134,"{'hidden_dim': 500, 'n_layers': 4, 'ffn_hidden_dim': 200, 'ffn_n_layers': 1, 'dropout': 0.2847649931474123, 'aggregation': 'mean', 'lr': 3.147316789853503e-05, 'weight_decay': 6.16647948996491e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.03393691732607462,1.1191486138662834,1.3081082105636597,0.910118043422699,1.1776844263076782,0.05996092036366463,-0.03890872001647949,1.0852116965402088,0.07800939242587843,1.2524936199188232,0.1156940758228302,0.11327050267873004
regressor,2d,gnn,279,diverse_25,1,42,0.8137537240982056,0.9686799793164361,0.08085227012634277,0.9723619222640991,1.1748004256858484,-0.06953871250152588,0.06365970522165298,0.10365435053739973,"{'hidden_dim': 200, 'n_layers': 2, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.15884673295683427, 'aggregation': 'mean', 'lr': 0.00042923299447856714, 'weight_decay': 9.914679001167331e-06, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mae'}",0.08915055610294254,0.9686799793164361,1.3801560401916504,0.8707902431488037,1.1190054416656494,0.271528959274292,0.06813281774520874,1.0578305354193787,0.2640345533956508,0.9383409023284912,0.2903684377670288,0.26722782119129784
regressor,2d,gnn,1865,scaffold,5,42,0.5478180050849915,0.690741634445258,0.5219964981079102,0.6694165468215942,0.8877521492500469,0.14853006601333618,0.5895825028419495,0.5944309932994695,"{'hidden_dim': 500, 'n_layers': 5, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.02011609151368003, 'aggregation': 'sum', 'lr': 0.0006897300173970113, 'weight_decay': 3.967909647747718e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.09842797400397452,0.690741634445258,0.7881038784980774,0.41800376772880554,0.3508354723453522,0.8129095435142517,0.642327070236206,0.5923136604412835,0.8342624402956226,0.47712400555610657,0.7431035041809082,0.7188732948889082
regressor,2d,gnn,1865,scaffold,3,42,0.5500444769859314,0.7182208476830788,0.4506582021713257,0.751071035861969,0.9283384584996522,0.09537696838378906,0.3674347698688507,0.34532206447483166,"{'hidden_dim': 400, 'n_layers': 2, 'ffn_hidden_dim': 300, 'ffn_n_layers': 3, 'dropout': 0.09356831139595523, 'aggregation': 'mean', 'lr': 0.0007058463499886077, 'weight_decay': 3.5359253115764363e-07, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'huber'}",0.02138241404083696,0.7182208476830788,0.8618122935295105,0.5690444707870483,0.547012984752655,0.6792621612548828,0.4421082139015198,0.7396032617239158,0.6748739743124783,0.5158411860466003,0.6719759702682495,0.6642032686927963
regressor,2d,gnn,1865,scaffold,2,42,0.5667371153831482,0.7430087314441794,0.3904699683189392,0.7073128819465637,0.8991938848562451,0.1534460186958313,0.41217756271362305,0.4692453345243058,"{'hidden_dim': 300, 'n_layers': 4, 'ffn_hidden_dim': 300, 'ffn_n_layers': 1, 'dropout': 0.022404438691157373, 'aggregation': 'mean', 'lr': 0.0006329529225513609, 'weight_decay': 8.117259449591353e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mae'}",0.00462496645890087,0.7430087314441794,0.8085496425628662,0.5495648980140686,0.5589561462402344,0.660620927810669,0.4308511018753052,0.7476336979030803,0.6658638109874672,0.5520619750022888,0.627727210521698,0.6206524997020567
regressor,2d,gnn,1865,scaffold,4,42,0.6341762542724609,0.8041594541222943,0.3766191601753235,0.6197152733802795,0.8226276244194252,0.35155951976776123,0.5930965542793274,0.5814507027490897,"{'hidden_dim': 500, 'n_layers': 6, 'ffn_hidden_dim': 400, 'ffn_n_layers': 1, 'dropout': 0.04441785966840378, 'aggregation': 'mean', 'lr': 0.0004930427302089498, 'weight_decay': 1.558756727481456e-05, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mse'}",-0.04263396750939252,0.8041594541222943,0.6767162084579468,0.5867513418197632,0.5799210667610168,0.6302667260169983,0.3855905532836914,0.7615254866129018,0.648321369381729,0.6466724276542664,0.6218933463096619,0.6286448192119677
regressor,2d,gnn,1865,scaffold,1,42,0.536177933216095,0.6931679044881991,0.5188745260238647,0.8750905394554138,1.2896134095184597,-0.7885129451751709,0.2832622826099396,0.4367787866689035,"{'hidden_dim': 400, 'n_layers': 5, 'ffn_hidden_dim': 200, 'ffn_n_layers': 2, 'dropout': 0.09499910807309353, 'aggregation': 'sum', 'lr': 0.0004174374763761358, 'weight_decay': 4.990943315973746e-07, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mse'}",-0.09459448721973807,0.6931679044881991,1.6631027460098267,0.456207811832428,0.3582901358604431,0.7939073443412781,0.6297034025192261,0.598573417268461,0.7926360373607524,0.48048174381256104,0.7360742688179016,0.7322380004067054
regressor,2d,gnn,1865,random,5,42,0.5635017156600952,0.746467536644535,0.3599066734313965,0.5674393177032471,0.8005436614601112,0.3205087184906006,0.6211470365524292,0.6979243279444802,"{'hidden_dim': 300, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.1638253164126647, 'aggregation': 'sum', 'lr': 0.0007301803378818622, 'weight_decay': 8.25215738785683e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.16252319820095162,0.746467536644535,0.6408701539039612,0.43661004304885864,0.34099099040031433,0.8183521628379822,0.6571706533432007,0.5839443384435834,0.817502371909244,0.5572137832641602,0.6349502801895142,0.6245353969889583
