task,dimension,model,dataset,split,fold,seed,best_k,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,median_mae,median_rmse,median_r2,mean_mae,mean_rmse,mean_r2,random_mae,random_rmse,random_r2
regressor,2d,knn,230,diverse_25,3,42,5,0.5294867596853641,0.6975305636116709,0.09215726478460018,0.7108121185399753,0.8971507366340021,-0.005347772175763321,0.2224539066948215,0.2188076782135303,0.7305331144625555,0.8965254038393523,-0.003946763837178402,0.7578886478831235,0.9023363238584419,-0.01700330564027097,1.1575892349804555,1.3675464908960595,-1.3359830257637948
regressor,2d,knn,230,umap,3,42,1,0.42155140719316303,0.6039268550054656,0.5742261045307204,0.8233073022449205,1.0533924271714454,-0.5626639252974293,0.2208409225066954,0.236785594433826,0.7271306343055767,0.8479689300828146,-0.012616692573658161,0.7234015144464926,0.8427749886435278,-0.0002498143197464664,0.9880858018085481,1.220900924964374,-1.0991624455346756
regressor,2d,knn,230,time,3,42,5,0.5433102664496353,0.7216824605242309,0.491243961188495,0.7417475070399607,0.9208375845453255,-0.5458572057456059,-0.06083886428814508,-0.08393491739442556,0.621980944077302,0.7425385817420623,-0.005174237426914141,0.6449992241995108,0.7733714759789789,-0.0903843282785941,1.0240718706570646,1.2821121868247711,-1.9967834204402983
regressor,2d,knn,2409,random,3,42,3,0.5917125579846422,0.8161231319514745,0.49091677209947115,0.6006502720388811,0.8187271765977104,0.42897754040838854,0.679243551225825,0.6644450027278154,0.8890026641412397,1.0865497154304444,-0.005712810734215701,0.8987244430602053,1.0853064117955933,-0.0034125183947233406,1.3634187026307312,1.6685048563325948,-1.3715360319464232
regressor,2d,knn,2409,scaffold,3,42,5,0.5980973683557502,0.8030450481550405,0.533088535999143,0.7005246384962259,0.9142248533521653,0.3033634976876267,0.5705013777546183,0.5318306849346277,0.9145421609469607,1.0960454477632995,-0.0012840662727002794,0.9371023693028073,1.0982624456137637,-0.005338806327660706,1.2545288411779212,1.5701583903974219,-1.0548830433316203
regressor,2d,knn,2409,butina,3,42,3,0.545239075434402,0.7091882244914094,0.6238294483572153,0.9642750486938327,1.2070396098122373,-0.2983299608476324,0.22863135711345048,0.254591837822345,0.8958872391313699,1.1197430818712515,-0.11732318588863677,0.8787992784435407,1.076594030571306,-0.03287072934596513,1.2779838852572014,1.5634826881637014,-1.1783526525756263
regressor,2d,knn,2409,diverse_25,3,42,5,0.900604044497785,1.1188126775637215,0.18166227904307697,0.8270727241109721,0.9902258147244135,0.2393097141092997,0.49811491707207467,0.507577582379839,0.9869072780171997,1.13709309743593,-0.0030704321074532803,0.9812688757778741,1.150514458919626,-0.026889100508717956,1.2520369593544973,1.6289783104366309,-1.0585906025061438
regressor,2d,knn,2409,umap,3,42,5,0.5978864129190385,0.7824920640763993,0.4909647485851456,0.8870469616466061,1.1468507711638245,-0.3417319921438411,0.14872026860405402,0.14026549303324076,0.822356656316886,0.9974152919034972,-0.014855005146247713,0.862128735512155,1.030657183044713,-0.08362850834349245,1.3011486837834536,1.5946084419553055,-1.5939408654878053
regressor,2d,knn,2409,time,3,42,5,0.576335150476561,0.7698646905458093,0.4182457055369396,1.0815229498345782,1.2907084550337893,-0.25080868893740726,0.12846336563899421,0.1322625855840729,1.0236882622593428,1.2630187472602996,-0.19771688835286128,0.9808586571868101,1.197910094251649,-0.07741502720280091,1.2552128791532233,1.5656647328365947,-0.8404843019918398
regressor,2d,knn,260,random,3,42,3,0.5187004309159758,0.7030186617660551,0.5577651587953171,0.4619134858399355,0.6438919613987435,0.6566161231252379,0.812787494360864,0.8088435191125002,0.9088921630875533,1.1101182307391575,-0.02068648161362363,0.901816399851108,1.1001185665581272,-0.002381128391536036,1.2648177858960457,1.5772683381369024,-1.0604641565865642
regressor,2d,knn,260,scaffold,3,42,3,0.45314921430540667,0.6296369412708299,0.6479219328816671,0.6060383131277737,0.8667972114492992,0.5405865047268428,0.7505788752633406,0.7524610438615393,1.1057490502143767,1.2796978561205488,-0.0013447431658468734,1.1067507322836319,1.2788395859129542,-2.0259669488709164e-06,1.3606505177078854,1.6796056472411518,-0.7249773218394142
regressor,2d,knn,260,butina,3,42,5,0.4996442144387348,0.6642288881751854,0.7023885065592312,0.7312151991373136,0.9537502099572535,0.08424680498819759,0.4690332661335679,0.4490216073670673,0.8121272343050815,1.022699306572979,-0.052943510753437284,0.8034288148102321,1.0078933077187395,-0.022676490797433058,1.1951048989176778,1.4743630189687629,-1.1883561686473008
regressor,2d,knn,260,diverse_25,3,42,3,0.573611346958329,0.7486349123402225,0.4527296941981307,0.7254306334409772,0.9456450316912614,0.24989227308990902,0.5719043381540229,0.5530356710919389,0.889017989650432,1.107402247680762,-0.028674916882554857,0.8850905937703687,1.0922538446726207,-0.0007244552389449321,1.1435029789880822,1.4654231487024476,-0.8013306725033589
regressor,2d,knn,260,umap,3,42,5,0.45493127213359086,0.621693958060154,0.621215491617819,0.9338462668214251,1.2244180234642807,-0.1890498421805411,0.2544769156989159,0.26946857309878397,1.0122182554953048,1.1703142306232215,-0.08628955549716255,1.014197221689469,1.1725147030042682,-0.0903783674057077,1.3280648796133898,1.640198994519801,-1.1337017561674334
regressor,2d,knn,260,time,3,42,5,0.4326078981535508,0.6276413910209905,0.6737473269058231,0.8701098497908253,1.131312112220163,-0.1183595595246687,0.20489096428699038,0.23172814133325143,1.012478175899075,1.2189749397273337,-0.298392909654815,0.9940168606457227,1.1941285863580566,-0.24600209007183027,1.377794805800315,1.6856123714842026,-1.482744342064291
