endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_HLM,0,4,early,mol2vec,0.08657871914091371
LOG_HLM,0,4,early,gnn,0.5066034723742241
LOG_HLM,0,4,early,smiles,0.182317545643532
LogS,3,0,early,rdkit,0.025447652575997407
LogS,3,0,early,mol2vec,0.05940727262065196
LogS,3,0,early,gnn,0.326494198300648
LogS,3,0,early,smiles,0.5072875931380034
LogS,1,4,early,rdkit,0.023788305788895552
LogS,1,4,early,mol2vec,0.06355781990045903
LogS,1,4,early,gnn,0.23144395788759833
LogS,1,4,early,smiles,0.636356374285772
LogS,2,1,early,rdkit,0.008149833966612322
LogS,2,1,early,mol2vec,0.040540458962523604
LogS,2,1,early,gnn,0.31054332152839165
LogS,2,1,early,smiles,0.5765052531041723
LogS,2,4,early,rdkit,0.014317211440494047
LogS,2,4,early,mol2vec,0.044021865624737255
LogS,2,4,early,gnn,0.3265013503693244
LogS,2,4,early,smiles,0.5562408979392828
LogS,2,2,early,rdkit,0.03581080472695262
LogS,2,2,early,mol2vec,0.11486692345027469
LogS,2,2,early,gnn,0.5303286326395606
LogS,2,2,early,smiles,0.3803198502689198
LogS,3,1,early,rdkit,0.041862293794273954
LogS,3,1,early,mol2vec,0.08667131890716288
LogS,3,1,early,gnn,0.5759331843216446
LogS,3,1,early,smiles,0.30560266462706936
LogS,2,3,early,rdkit,0.028299404141816788
LogS,2,3,early,mol2vec,0.06755062985750757
LogS,2,3,early,gnn,0.2977387371030941
LogS,2,3,early,smiles,0.6211204495629954
LogS,3,4,early,rdkit,0.024452516397648075
LogS,3,4,early,mol2vec,0.08508966514044208
LogS,3,4,early,gnn,0.5151876067868257
LogS,3,4,early,smiles,0.3524946198508512
LogS,4,3,early,rdkit,0.018494170640184215
LogS,4,3,early,mol2vec,0.05197600598814149
LogS,4,3,early,gnn,0.5930393060068241
LogS,4,3,early,smiles,0.3201061759170861
LogS,4,2,early,rdkit,0.015356916713376289
LogS,4,2,early,mol2vec,0.04416043395246129
LogS,4,2,early,gnn,0.3919577859644792
LogS,4,2,early,smiles,0.5752032372793356
LOG_HLM,1,1,early,rdkit,0.0242780505395635
LOG_HLM,1,1,early,mol2vec,0.08994034873016307
LOG_HLM,1,1,early,gnn,0.4378777568744031
LOG_HLM,1,1,early,smiles,0.3020077434854054
LogS,4,4,early,rdkit,0.022832164399944496
LogS,4,4,early,mol2vec,0.04794585311578224
LogS,4,4,early,gnn,0.6097014813535213
LogS,4,4,early,smiles,0.17251314014338648
LOG_HLM,1,2,early,rdkit,0.01651502408962094
LOG_HLM,1,2,early,mol2vec,0.07097219086967674
LOG_HLM,1,2,early,gnn,0.5907105542806697
LOG_HLM,1,2,early,smiles,0.07768756358612067
LOG_HLM,1,3,early,rdkit,0.016760628704366527
LOG_HLM,1,3,early,mol2vec,0.0745341952742028
LOG_HLM,1,3,early,gnn,0.5537177254543781
LOG_HLM,1,3,early,smiles,0.08218524126787144
LOG_HLM,1,4,early,rdkit,0.009070782201304733
LOG_HLM,1,4,early,mol2vec,0.04124540625948704
LOG_HLM,1,4,early,gnn,0.37882935367533865
LOG_HLM,1,4,early,smiles,0.6240676130683516
LOG_HLM,2,0,early,rdkit,0.015324978060609035
LOG_HLM,2,0,early,mol2vec,0.05177344245613444
LOG_HLM,2,0,early,gnn,0.4814191510323263
LOG_HLM,2,0,early,smiles,0.3438270194833977
LOG_HLM,2,1,early,rdkit,0.014065257497245005
LOG_HLM,2,1,early,mol2vec,0.044872474715778675
LOG_HLM,2,1,early,gnn,0.45470568933701233
LOG_HLM,2,1,early,smiles,0.36609277873967216
LOG_HLM,2,2,early,rdkit,0.033290361410243025
LOG_HLM,2,2,early,mol2vec,0.11700424500668556
LOG_HLM,2,2,early,gnn,0.589505071872001
LOG_HLM,2,2,early,smiles,0.07346759098217552
LOG_HLM,2,3,early,rdkit,0.01361474633289172
LOG_HLM,2,3,early,mol2vec,0.06671887647079619
LOG_HLM,2,3,early,gnn,0.5526044665401907
LOG_HLM,2,3,early,smiles,0.17889434781789512
LOG_HLM,3,0,early,rdkit,0.011295952345768589
LOG_HLM,3,0,early,mol2vec,0.06702554363621986
LOG_HLM,3,0,early,gnn,0.5282414752603425
LOG_HLM,3,0,early,smiles,0.07944977680590867
LOG_HLM,2,4,early,rdkit,0.02304880585070163
LOG_HLM,2,4,early,mol2vec,0.06079954224127056
LOG_HLM,2,4,early,gnn,0.5664743804933461
LOG_HLM,2,4,early,smiles,0.06375993324639109
LOG_HLM,4,0,early,rdkit,0.02978859222750124
LOG_HLM,4,0,early,mol2vec,0.06977375860634343
LOG_HLM,4,0,early,gnn,0.5631190918210145
LOG_HLM,4,0,early,smiles,0.08641808254216699
LOG_HLM,3,2,early,rdkit,0.021835283343909103
LOG_HLM,3,2,early,mol2vec,0.06843501557365306
LOG_HLM,3,2,early,gnn,0.44575033558307664
LOG_HLM,3,2,early,smiles,0.31903143490034475
LOG_HLM,3,4,early,rdkit,0.0110262570620715
LOG_HLM,3,4,early,mol2vec,0.056370890668798954
LOG_HLM,3,4,early,gnn,0.5661528924429118
LOG_HLM,3,4,early,smiles,0.09726597928009584
LOG_HLM,3,3,early,rdkit,0.022026054063566097
LOG_HLM,3,3,early,mol2vec,0.0681804726823749
LOG_HLM,3,3,early,gnn,0.48928167704126746
LOG_HLM,3,3,early,smiles,0.2910567596120433
LOG_HLM,4,2,early,rdkit,0.03287713805765286
LOG_HLM,4,2,early,mol2vec,0.08128695060955735
LOG_HLM,4,2,early,gnn,0.4046071634195989
LOG_HLM,4,2,early,smiles,0.36035985978551016
LOG_HLM,4,1,early,rdkit,0.010178305135722104
LOG_HLM,4,1,early,mol2vec,0.05070910668876064
LOG_HLM,4,1,early,gnn,0.36422890085427934
LOG_HLM,4,1,early,smiles,0.5392945601153734
LOG_HLM,3,1,early,rdkit,0.03576450332019382
LOG_HLM,3,1,early,mol2vec,0.10108100465171604
LOG_HLM,3,1,early,gnn,0.40464248200741637
