endpoint,repeat,fold,fusion,removed,delta_r2,delta_rmse,delta_mae,delta_spearman,full_r2,full_rmse,full_mae,full_spearman
LogD,1,3,late,gnn,-0.012123952670492377,0.008561443421624126,0.005976933569275422,-0.01098624980407581,0.46506045872472934,0.7597619335559401,0.5731782584751007,0.6897213933561416
LogD,1,3,late,rdkit,0.14321736505797,-0.10961089734190566,-0.09903624518310183,0.10062848924700551,0.46506045872472934,0.7597619335559401,0.5731782584751007,0.6897213933561416
LogD,1,3,late,mol2vec,-0.004516520186321649,0.0032006116803752205,0.003537849185939801,-0.004256289979454597,0.46506045872472934,0.7597619335559401,0.5731782584751007,0.6897213933561416
LogD,1,3,late,smiles,0.0055150353309422195,-0.003926583527659289,-0.002963028825665237,0.004436697462171124,0.46506045872472934,0.7597619335559401,0.5731782584751007,0.6897213933561416
LogD,1,2,early,gnn,-0.14512590241333378,0.10712300116741091,0.10037092794402619,-0.07528813335000528,0.5747794334458408,0.6773799078986886,0.4752488229279556,0.7971335357414924
LogD,1,2,early,rdkit,0.0030870232517643537,-0.0024633058202996327,0.00019286253095573969,0.000989647405246652,0.5747794334458408,0.6773799078986886,0.4752488229279556,0.7971335357414924
LogD,1,2,early,mol2vec,-0.005240526528993983,0.004161319199721403,0.002969786787114015,-0.0013357871084622719,0.5747794334458408,0.6773799078986886,0.4752488229279556,0.7971335357414924
LogD,1,2,early,smiles,-0.016025263771760057,0.012646142701670304,0.01819566830454933,-0.008713523239929466,0.5747794334458408,0.6773799078986886,0.4752488229279556,0.7971335357414924
LogD,1,2,late,gnn,0.02023669481657253,-0.014055956023650285,-0.011192917449572515,0.016152443226653546,0.4306595830469273,0.7838106990426521,0.5819710733979109,0.6633663124823962
LogD,1,2,late,rdkit,0.14629256657297685,-0.10816358494927913,-0.09281923433589145,0.10842737399766733,0.4306595830469273,0.7838106990426521,0.5819710733979109,0.6633663124823962
LogD,1,2,late,mol2vec,-0.004014287587792098,0.0027583803342270397,0.0025672807549924626,-0.00182970003437255,0.4306595830469273,0.7838106990426521,0.5819710733979109,0.6633663124823962
LogD,1,2,late,smiles,-0.01717297317645372,0.011733192717188978,0.010351860589075002,-0.011548617923362148,0.4306595830469273,0.7838106990426521,0.5819710733979109,0.6633663124823962
LogD,4,1,early,gnn,-0.157756263897309,0.1158293667490844,0.08779286036684691,-0.08122843276534586,0.5753595156037998,0.6769177123570177,0.49141050822920634,0.7813414276451744
LogD,4,1,early,rdkit,-0.019988333923053325,0.015748468129306303,0.00450225461355791,-0.007361842071215374,0.5753595156037998,0.6769177123570177,0.49141050822920634,0.7813414276451744
LogD,4,1,early,mol2vec,-0.014928746763717582,0.011796146628182735,0.008188607795249159,-0.0012548859554392111,0.5753595156037998,0.6769177123570177,0.49141050822920634,0.7813414276451744
LogD,4,1,early,smiles,0.04156751566494066,-0.0339843926074721,-0.013991547354110123,0.014791110369933524,0.5753595156037998,0.6769177123570177,0.49141050822920634,0.7813414276451744
LogD,4,1,late,gnn,0.014871605088843998,-0.010368819627536996,-0.006502457332998923,0.010535651844247984,0.4375975157105537,0.7790203361665017,0.5804752758209965,0.6738821230449843
LogD,4,1,late,rdkit,0.04137348364522031,-0.02920187614352099,-0.026857126899510142,0.021244863914937073,0.4375975157105537,0.7790203361665017,0.5804752758209965,0.6738821230449843
LogD,4,1,late,mol2vec,-0.0015260183887214618,0.0010561777943007833,0.00017752381032487552,-0.0023482182964355003,0.4375975157105537,0.7790203361665017,0.5804752758209965,0.6738821230449843
LogD,4,1,late,smiles,-0.0006343802650147223,0.0004392368977437222,0.0015019362508040812,-0.0010876639119479226,0.4375975157105537,0.7790203361665017,0.5804752758209965,0.6738821230449843
LogD,1,1,early,gnn,-0.1286949067569021,0.09757917777730352,0.08157221220701277,-0.06778236557784345,0.5928974067180177,0.662791780915426,0.4892634674822504,0.7891105634706956
LogD,1,1,early,rdkit,0.006956396157432154,-0.005687151773288157,-0.005856072507950616,0.002644277922950855,0.5928974067180177,0.662791780915426,0.4892634674822504,0.7891105634706956
LogD,1,1,early,mol2vec,0.002406047565443381,-0.0019615102158863085,-0.0019714388432319763,-2.62906031639476e-05,0.5928974067180177,0.662791780915426,0.4892634674822504,0.7891105634706956
LogD,1,1,early,smiles,-0.006423855971295467,0.005208778170375794,0.00274717932065216,-0.007651019015454175,0.5928974067180177,0.662791780915426,0.4892634674822504,0.7891105634706956
LogD,1,1,late,gnn,-0.02346877445753104,0.016280354946496156,0.011002566430286853,-0.013707608594203169,0.45108542510256244,0.7696221546582163,0.5770268292235958,0.6811152069203702
