endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_Caco_AB,fus_GRM_late_lgbm,1,5,1616,0.11588268718310772,0.13720801779146952,0.1829712635703854,0.18732251030466973
LOG_Caco_AB,fus_GRM_late_lgbm,2,5,1616,0.09822880368940955,0.12821881411636438,0.20590009331845704,0.20918938269147844
LOG_Caco_AB,fus_GRM_late_lgbm,3,5,1616,0.1102335977247483,0.09220598061706844,0.18599622791425208,0.18978130037367832
LOG_Caco_AB,fus_GRM_late_lgbm,4,5,1616,0.1107643630730353,0.1368584634868448,0.19214815785405956,0.19619975771486547
LOG_Caco_AB,fus_GRM_late_rf,0,5,1616,0.10328776805411041,0.15620868741038277,0.1980187260625287,0.2007433811473694
LOG_Caco_AB,fus_GRM_late_rf,1,5,1616,0.10338281349853803,0.08385944479423289,0.19740351541062287,0.2000731876622051
LOG_Caco_AB,fus_GRM_late_rf,2,5,1616,0.09569313862890459,0.09506030695170885,0.20563727760614026,0.20870437469214695
LOG_Caco_AB,fus_GRM_late_rf,3,5,1616,0.10185289868666537,0.0812843634339412,0.20031757326679558,0.20333587616962737
LOG_Caco_AB,fus_GRM_late_rf,4,5,1616,0.09817088869238653,0.11567638669997289,0.2055729700335234,0.20871998683903037
LOG_Caco_AB,fus_GRS_early_attfp,0,5,1616,0.1962924992542288,0.24770000992611238,0.16287030178845333,0.1371022653744137
LOG_Caco_AB,fus_GRS_early_attfp,1,5,1616,0.18063179725303505,0.03283981965105128,0.17431958459757452,0.12748915681140424
LOG_Caco_AB,fus_GRS_early_attfp,2,5,1616,0.20878728651424028,0.23186113609074896,0.14832972080451506,0.14340023045676595
LOG_Caco_AB,fus_GRS_early_attfp,3,5,1616,0.16184578092027485,0.3259851500625875,0.15999993702289309,0.16599647450417973
LOG_Caco_AB,fus_GRS_early_attfp,4,5,1616,0.1668766739324621,0.2773140196539196,0.1516102152526838,0.15733402192849955
LOG_Caco_AB,fus_GRS_early_lgbm,0,5,1616,0.10722626514998226,0.15119492490337003,0.15058334590450123,0.15274744911099153
LOG_Caco_AB,fus_GRS_early_lgbm,1,5,1616,0.09772301648705456,0.09662989551325708,0.15861153004579018,0.16036592272869576
LOG_Caco_AB,fus_GRS_early_lgbm,2,5,1616,0.13668909203328522,0.17039114211798229,0.14197625588371537,0.1440895316005974
LOG_Caco_AB,fus_GRS_early_lgbm,3,5,1616,0.11985028189420271,0.2301528221594603,0.16091201553750561,0.16184034034804506
LOG_Caco_AB,fus_GRS_early_lgbm,4,5,1616,0.12494516378106861,0.19456112344803225,0.17628205637719288,0.17889169118510162
LOG_Caco_AB,fus_GRS_early_rf,0,5,1616,0.10745923672383093,0.14220276379712196,0.15212467504955512,0.15417691103492592
LOG_Caco_AB,fus_GRS_early_rf,1,5,1616,0.09288241900973104,0.10969789555168429,0.16538403567473423,0.16759313116010238
LOG_Caco_AB,fus_GRS_early_rf,2,5,1616,0.14470616988874166,0.15235747365249158,0.13613256050658767,0.1392300422020342
LOG_Caco_AB,fus_GRS_early_rf,3,5,1616,0.12797400622359054,0.23947071357321068,0.15854562776718897,0.15909332995852557
LOG_Caco_AB,fus_GRS_early_rf,4,5,1616,0.13403045770890631,0.21487450416670117,0.1726590334672054,0.17515749371816042
LOG_Caco_AB,fus_GRS_late_attfp,0,5,1616,0.09574932571169475,-0.04338853340008636,0.16395202536331216,0.16686833553496805
LOG_Caco_AB,fus_GRS_late_attfp,1,5,1616,0.07981863182155048,0.003132578878971708,0.18175161157919087,0.1832146242510587
LOG_Caco_AB,fus_GRS_late_attfp,2,5,1616,0.10522270930309613,0.0790256998319333,0.1673410205949548,0.16900018774939088
LOG_Caco_AB,fus_GRS_late_attfp,3,5,1616,0.09181349429766493,-0.019509746798744742,0.17546611066561266,0.1778607336137608
LOG_Caco_AB,fus_GRS_late_attfp,4,5,1616,0.09670658038863672,-0.012701809814723568,0.1789864304841377,0.18132720094957974
LOG_Caco_AB,fus_GRS_late_lgbm,0,5,1616,0.12603596511380535,0.10950553349878056,0.1570272582607701,0.16238996684052323
LOG_Caco_AB,fus_GRS_late_lgbm,1,5,1616,0.13271149224646336,0.11126956608320518,0.15226999923229662,0.15846304518875348
LOG_Caco_AB,fus_GRS_late_lgbm,2,5,1616,0.1260364715023653,0.1466411511310963,0.15892245072505426,0.16413880363996372
LOG_Caco_AB,fus_GRS_late_lgbm,3,5,1616,0.11891126594147539,0.06034647759694971,0.15702917410201067,0.16122306950034296
LOG_Caco_AB,fus_GRS_late_lgbm,4,5,1616,0.11839069717763989,0.10929109193306927,0.16809388248627244,0.1743949090555929
LOG_Caco_AB,fus_GRS_late_rf,0,5,1616,0.12204007603200619,0.09030639041645222,0.15897134328161142,0.16377565223200835
LOG_Caco_AB,fus_GRS_late_rf,1,5,1616,0.12940300536016097,0.11090126268292673,0.15551316441136087,0.16168053499819696
LOG_Caco_AB,fus_GRS_late_rf,2,5,1616,0.12371531712348312,0.1297537857010435,0.16131793966537755,0.1655473781824335
LOG_Caco_AB,fus_GRS_late_rf,3,5,1616,0.11736029296196938,0.05535443063341906,0.161446512583304,0.1653213732744489
LOG_Caco_AB,fus_GRS_late_rf,4,5,1616,0.11785498038326933,0.1003717257507722,0.16665772291441708,0.1724439513916926
LOG_Caco_AB,fus_GR_early_attfp,0,5,1616,0.07680349670337637,0.027780827216116175,0.22235865326624593,0.22463625623634895
LOG_Caco_AB,fus_GR_early_attfp,1,5,1616,0.10430081230352166,0.14264015657734735,0.2004994034647019,0.20484739978433153
LOG_Caco_AB,fus_GR_early_attfp,2,5,1616,0.09695855571998976,0.11528896614053397,0.21088098951882206,0.21331743060977626
LOG_Caco_AB,fus_GR_early_attfp,3,5,1616,0.10720994540441504,0.1304200136145119,0.19756128625995933,0.20153674639782515
LOG_Caco_AB,fus_GR_early_attfp,4,5,1616,0.08304813962816862,0.06690976633181854,0.21371054602735093,0.2155161509323824
LOG_Caco_AB,fus_GR_early_lgbm,0,5,1616,0.09530061733200643,0.19865480948170314,0.15826797794481298,0.15934190686492594
LOG_Caco_AB,fus_GR_early_lgbm,1,5,1616,0.09147252519184287,0.1276079021168193,0.16475259500650544,0.16575958469357774
LOG_Caco_AB,fus_GR_early_lgbm,2,5,1616,0.09102201256851439,0.1259421227800459,0.16748902859389891,0.169275076149703
LOG_Caco_AB,fus_GR_early_lgbm,3,5,1616,0.10528324113195844,0.1509959907174576,0.1640018720549581,0.16553547326211565
LOG_Caco_AB,fus_GR_early_lgbm,4,5,1616,0.09141072881301911,0.12239374010337864,0.18545032072691428,0.18733975260175947
LOG_Caco_AB,fus_GR_early_rf,0,5,1616,0.0949392420561626,0.16514006017783495,0.16125252002332152,0.16226598170824677
LOG_Caco_AB,fus_GR_early_rf,1,5,1616,0.08965297213951927,0.1263882887144378,0.1669309992664004,0.16821423463806648
LOG_Caco_AB,fus_GR_early_rf,2,5,1616,0.09790907045101303,0.1191106278477495,0.16324772130678616,0.16535934431659438
LOG_Caco_AB,fus_GR_early_rf,3,5,1616,0.11006294571012554,0.14924498277031686,0.16393025996634308,0.16608178839874185
LOG_Caco_AB,fus_GR_early_rf,4,5,1616,0.09750178078065125,0.1658904633460834,0.1942697805002203,0.19637585229624469
LOG_Caco_AB,fus_GR_late_attfp,0,5,1616,0.07686318588449001,0.012321188440690226,0.184599709140017,0.18664192495993678
LOG_Caco_AB,fus_GR_late_attfp,1,5,1616,0.08133107785271963,0.0010889583441322942,0.18054184687797084,0.18218941206087455
LOG_Caco_AB,fus_GR_late_attfp,2,5,1616,0.09461800799740148,-0.00011911723583422191,0.1666713667791949,0.16904874504437012
