endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_MLM,fus_GRMS_early_lgbm,1,3,1170,-0.3040179910443799,0.2726673587886088,0.48531121097288543
LOG_MLM,fus_GRMS_early_lgbm,1,4,1170,-0.8307673499056207,0.2749391767554345,0.5776900924851435
LOG_MLM,fus_GRMS_early_lgbm,2,0,1170,-0.41961729650018675,0.321690616406088,0.5026869695135964
LOG_MLM,fus_GRMS_early_lgbm,2,1,1170,-0.1081478750366156,0.3374765968671642,0.4498631171348904
LOG_MLM,fus_GRMS_early_lgbm,2,2,1170,-0.62497724506074,0.31961773643417224,0.5472312172229158
LOG_MLM,fus_GRMS_early_lgbm,2,3,1170,-0.4124950268090408,0.3317541189400505,0.5042172731375734
LOG_MLM,fus_GRMS_early_lgbm,2,4,1170,-0.5817220245174552,0.3629541461730614,0.527185932037257
LOG_MLM,fus_GRMS_early_lgbm,3,0,1170,-0.5761731799818608,0.35484627983790684,0.5323071945913515
LOG_MLM,fus_GRMS_early_lgbm,3,1,1170,-0.47904640685379496,0.3627872275520233,0.49838931913614587
LOG_MLM,fus_GRMS_early_lgbm,3,2,1170,-0.2895240758738977,0.36322664632459783,0.492246957326341
LOG_MLM,fus_GRMS_early_lgbm,3,3,1170,-0.2407589323935968,0.38278721789105835,0.4713260010099999
LOG_MLM,fus_GRMS_early_lgbm,3,4,1170,-0.6467888931136028,0.36400487056873493,0.5330846046003148
LOG_MLM,fus_GRMS_early_lgbm,4,0,1170,-0.4057161561601761,0.30735739401783796,0.49585297700904796
LOG_MLM,fus_GRMS_early_lgbm,4,1,1170,-0.5849185367977436,0.2300634655825058,0.5364466344552193
LOG_MLM,fus_GRMS_early_lgbm,4,2,1170,-0.6916788900577013,0.29142702364766354,0.555077707326654
LOG_MLM,fus_GRMS_early_lgbm,4,3,1170,-0.5228890570420586,0.34534907823121685,0.5290533091766845
LOG_MLM,fus_GRMS_early_lgbm,4,4,1170,-0.12935649917519365,0.4144552887015227,0.4387475497110719
LOG_MLM,fus_GRMS_late_lgbm,0,0,1170,0.0716871826434915,0.3401647677396152,0.4224694007430558
