nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
CCC(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,8.638272163982407,CHEMBL4166220,4005,2018.0
CN(C(=O)c1cc2c(s1)-c1ccccc1OCC2)c1ccccc1Cl,7.795880017344075,CHEMBL1796271,4005,2011.0
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.499999678657065,CHEMBL4469156,4005,2019.0
CNC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,7.100015437450609,CHEMBL4592893,4005,2019.0
CN(C(=O)c1cc2c(s1)-c1ccc(C(N)=O)cc1OCC2)c1ccccc1Cl,8.823908740944319,CHEMBL1796275,4005,2013.0
CNC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,6.499996931948306,CHEMBL4593752,4005,2019.0
CNC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.40000018605658,CHEMBL4440799,4005,2019.0
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)C)n1,7.795880017344075,CHEMBL2397193,4005,2013.0
CCC(C)C(N)C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,5.118435811600431,CHEMBL2322666,4005,2013.0
CN(C(=O)c1cc2c(s1)-c1ccccc1OCC2)c1ccc(F)cc1F,7.2839966563652,CHEMBL2322771,4005,2013.0
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,8.033428165228951,CHEMBL2397186,4005,2013.0
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C)c1,7.853871964321762,CHEMBL2397187_CHEMBL2397190,4005,
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,8.201781067380074,CHEMBL2396661,4005,2013.0
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccc(S(C)(=O)=O)c(F)c1,6.552841968657781,CHEMBL2071336,4005,2015.0
CNC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,6.0999990348465305,CHEMBL4461502,4005,2019.0
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1cc(C(C)C)ncn1,6.494850021680094,CHEMBL2397195,4005,2013.0
O=C(Nc1ccc(O)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1,7.346787486224656,CHEMBL3109144,4005,2014.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4cccc(Cl)c4Cl)c3)cc2c1=O,8.958607314841775,CHEMBL4640713,4005,2020.0
