bin,n,mean_sigma,mean_abs_error,endpoint,method
4,116,0.05929883029431689,0.339152331005008,LOG_HLM,fus_GRM_early_rf
5,116,0.07093330477731488,0.4031594090478443,LOG_HLM,fus_GRM_early_rf
6,116,0.0867223129403082,0.36821424860494606,LOG_HLM,fus_GRM_early_rf
7,116,0.12247249081854925,0.4278118412516428,LOG_HLM,fus_GRM_early_rf
0,117,0.014465259270371615,0.31627745024247217,LOG_HLM,fus_GRM_late_attfp
1,116,0.021879459007115406,0.327094330119015,LOG_HLM,fus_GRM_late_attfp
2,116,0.02614189889019215,0.31982799872467566,LOG_HLM,fus_GRM_late_attfp
3,116,0.030560015962710844,0.3258059611811941,LOG_HLM,fus_GRM_late_attfp
4,116,0.03554986652731955,0.34439476537414937,LOG_HLM,fus_GRM_late_attfp
5,116,0.04086217203831377,0.35837269917418985,LOG_HLM,fus_GRM_late_attfp
6,116,0.04725969991406524,0.3828447675722369,LOG_HLM,fus_GRM_late_attfp
7,116,0.06340637254741155,0.42278357262347677,LOG_HLM,fus_GRM_late_attfp
0,117,0.021295316372207992,0.35270035957894064,LOG_HLM,fus_GRM_late_lgbm
1,116,0.03332566493058444,0.390454164212414,LOG_HLM,fus_GRM_late_lgbm
2,116,0.040986637801292386,0.33791854863469767,LOG_HLM,fus_GRM_late_lgbm
3,116,0.04827574817863164,0.35689326478473754,LOG_HLM,fus_GRM_late_lgbm
4,116,0.0565073899226615,0.40541530306607354,LOG_HLM,fus_GRM_late_lgbm
5,116,0.06485530360543143,0.35977484135705606,LOG_HLM,fus_GRM_late_lgbm
6,116,0.07506472996117262,0.3797694969797336,LOG_HLM,fus_GRM_late_lgbm
7,116,0.09769983408059074,0.46306651455597886,LOG_HLM,fus_GRM_late_lgbm
0,117,0.023229342142200442,0.3254677470694791,LOG_HLM,fus_GRM_late_rf
1,116,0.03548800398044736,0.3612266647339307,LOG_HLM,fus_GRM_late_rf
2,116,0.043185296729143306,0.3618898282197106,LOG_HLM,fus_GRM_late_rf
3,116,0.04964294357693454,0.44339224577762715,LOG_HLM,fus_GRM_late_rf
4,116,0.05778226301602379,0.38646874662640596,LOG_HLM,fus_GRM_late_rf
5,116,0.06642270478732948,0.39673242001410125,LOG_HLM,fus_GRM_late_rf
6,116,0.07721826781436049,0.4320421995669857,LOG_HLM,fus_GRM_late_rf
7,116,0.10163007120867837,0.4223106308480666,LOG_HLM,fus_GRM_late_rf
0,117,0.025756528360899124,0.32352062359273376,LOG_HLM,fus_GRS_early_attfp
1,116,0.039879481052118845,0.30705617261385015,LOG_HLM,fus_GRS_early_attfp
2,116,0.04945122349211661,0.3580327527438812,LOG_HLM,fus_GRS_early_attfp
3,116,0.058631517460955664,0.39396156068053756,LOG_HLM,fus_GRS_early_attfp
4,116,0.067462036362915,0.42439784335127234,LOG_HLM,fus_GRS_early_attfp
5,116,0.07824484793280441,0.3929548340340708,LOG_HLM,fus_GRS_early_attfp
6,116,0.09495623293881286,0.411297524134024,LOG_HLM,fus_GRS_early_attfp
7,116,0.13507364079751627,0.44488227601661906,LOG_HLM,fus_GRS_early_attfp
0,117,0.013871621888044632,0.15815216157666787,LOG_HLM,fus_GRS_early_lgbm
1,116,0.029263711926743773,0.28215646383160553,LOG_HLM,fus_GRS_early_lgbm
2,116,0.04194998618098534,0.299676469464221,LOG_HLM,fus_GRS_early_lgbm
3,116,0.05304960830271217,0.37504075538848103,LOG_HLM,fus_GRS_early_lgbm
4,116,0.06388149651903709,0.3265833128423449,LOG_HLM,fus_GRS_early_lgbm
5,116,0.0775037358770981,0.3951695928943908,LOG_HLM,fus_GRS_early_lgbm
6,116,0.09510649521296993,0.35120144628821015,LOG_HLM,fus_GRS_early_lgbm
7,116,0.1322341114708014,0.4700514354815876,LOG_HLM,fus_GRS_early_lgbm
0,117,0.012277297584536015,0.15145751567454777,LOG_HLM,fus_GRS_early_rf
1,116,0.026711283664184873,0.28431089866169257,LOG_HLM,fus_GRS_early_rf
2,116,0.037709225304827544,0.3559489255270209,LOG_HLM,fus_GRS_early_rf
3,116,0.048916336294169284,0.29680272316236367,LOG_HLM,fus_GRS_early_rf
4,116,0.05969291918440493,0.3696741494814057,LOG_HLM,fus_GRS_early_rf
5,116,0.07159159288192889,0.36221094121769126,LOG_HLM,fus_GRS_early_rf
6,116,0.08877990604214328,0.38549606697521793,LOG_HLM,fus_GRS_early_rf
7,116,0.12057498835855546,0.461936954890164,LOG_HLM,fus_GRS_early_rf
0,117,0.015395827864116663,0.262940019311317,LOG_HLM,fus_GRS_late_attfp
1,116,0.023045794218709437,0.3124129489508341,LOG_HLM,fus_GRS_late_attfp
2,116,0.027897851953282243,0.3123272115271671,LOG_HLM,fus_GRS_late_attfp
3,116,0.03270473076933246,0.3370750758298934,LOG_HLM,fus_GRS_late_attfp
4,116,0.03822808721452709,0.3559893685118001,LOG_HLM,fus_GRS_late_attfp
5,116,0.04453563435609917,0.3909863184897798,LOG_HLM,fus_GRS_late_attfp
6,116,0.05249365755768805,0.3649954342022805,LOG_HLM,fus_GRS_late_attfp
7,116,0.06985271329231396,0.3928463095345991,LOG_HLM,fus_GRS_late_attfp
0,117,0.005533412417390601,0.14444896817722488,LOG_HLM,fus_GRS_late_lgbm
1,116,0.02244854412334317,0.2916909475064878,LOG_HLM,fus_GRS_late_lgbm
2,116,0.03518483968287162,0.33008588056714394,LOG_HLM,fus_GRS_late_lgbm
3,116,0.045513628597915655,0.3573344980290574,LOG_HLM,fus_GRS_late_lgbm
4,116,0.05393583382600019,0.39406386772000296,LOG_HLM,fus_GRS_late_lgbm
