endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_HLM,uni_R_lgbm,LGBM - RDKit,25,0.3893453597679024,0.010916481625452515,0.6269905901970606,0.009133405495486677,0.36823379493032254,0.00314574821108568
LOG_HLM,uni_R_rf,RF - RDKit,25,0.35273503027868314,0.00743910854812211,0.5936450732575809,0.004754317774112362,0.38722352636959156,0.0021461984253268777
LOG_HLM,uni_S_lgbm,LGBM - SMILES,25,0.24135894939442998,0.02377646161752069,0.5370198063231156,0.014574241169499938,0.41091172748566074,0.0076922315494370895
LOG_HLM,uni_S_rf,RF - SMILES,25,0.24507554532146025,0.02380906176610105,0.5400099266390227,0.01545618571317731,0.40779968353901763,0.008015947635128626
LOG_HPPB,chemeleon,ChemProp + CheMeleon,25,0.22982862532053275,0.06471752071877193,0.5393756327987439,0.038232394322656335,0.5577093187858182,0.025445097742984084
LOG_HPPB,chemprop,ChemProp multi-task,25,0.1661582761312206,0.049116494910472486,0.46528822973236555,0.043361026710373674,0.5832088841467272,0.019724981920686183
LOG_HPPB,chemprop_st,ChemProp single-task,25,-0.06368603627030196,0.05885807279821042,0.22023317226094977,0.06274633720261934,0.6495717440826546,0.017994932894192604
LOG_HPPB,fus_GRMS_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.0061533191503028665,0.2369412609946405,0.47514450628312216,0.1369743769963577,0.6034221003227866,0.07496699903602393
LOG_HPPB,fus_GRMS_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.013328601910386604,0.1431828723154655,0.45660089723873576,0.06444212347712386,0.6050694020591529,0.0439856439410606
LOG_HPPB,fus_GRMS_early_rf,RF | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.026446157193262536,0.10402635517933392,0.41460519525718553,0.06949216046080194,0.600364790665487,0.030524903254381165
LOG_HPPB,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.0213875142336284,0.10691043831922253,0.33035309836992377,0.24938657603155553,0.6137945657530708,0.04418217316709406
