target,split,fold,fold_id,n_test,n_train,mean_max_sim,median_max_sim,frac_novel
230,butina,2,tid230_f2,233,840,0.4794877767562866,0.47457626461982727,0.3090128755364807
230,butina,3,tid230_f3,233,840,0.5007358193397522,0.4769230782985687,0.3562231759656652
230,butina,4,tid230_f4,233,840,0.5008882284164429,0.4912280738353729,0.22746781115879827
230,butina,5,tid230_f5,233,840,0.49702751636505127,0.4150943458080292,0.40772532188841204
230,diverse_25,1,tid230_f1,59,209,0.4044153392314911,0.4285714328289032,0.2033898305084746
230,diverse_25,2,tid230_f2,58,210,0.38302916288375854,0.39455151557922363,0.3103448275862069
230,diverse_25,3,tid230_f3,58,210,0.41500455141067505,0.437444269657135,0.1896551724137931
230,diverse_25,4,tid230_f4,58,210,0.3869767487049103,0.41602563858032227,0.25862068965517243
230,diverse_25,5,tid230_f5,58,210,0.38376325368881226,0.3857535123825073,0.3275862068965517
230,umap,1,tid230_f1,274,803,0.2972550094127655,0.27055180072784424,0.8029197080291971
230,umap,2,tid230_f2,216,855,0.33328208327293396,0.31343284249305725,0.6944444444444444
230,umap,3,tid230_f3,211,860,0.33037006855010986,0.32307693362236023,0.6018957345971564
230,umap,4,tid230_f4,224,848,0.3896544873714447,0.3700992465019226,0.33035714285714285
230,umap,5,tid230_f5,241,833,0.4515681862831116,0.46341463923454285,0.22821576763485477
230,time,1,tid230_f1,888,237,0.31265631318092346,0.28358209133148193,0.6554054054054054
230,time,2,tid230_f2,811,306,0.3396470844745636,0.3076923191547394,0.591861898890259
230,time,3,tid230_f3,667,436,0.33522796630859375,0.3103448152542114,0.6191904047976012
230,time,4,tid230_f4,433,647,0.3582361340522766,0.3287671208381653,0.5519630484988453
230,time,5,tid230_f5,107,940,0.4321404993534088,0.3650793731212616,0.4672897196261682
260,random,1,tid260_f1,271,972,0.754535436630249,0.7704917788505554,0.014760147601476014
260,random,2,tid260_f2,270,973,0.7583842277526855,0.7797058820724487,0.022222222222222223
260,random,3,tid260_f3,270,973,0.7685982584953308,0.7796103954315186,0.007407407407407408
260,random,4,tid260_f4,270,973,0.7548072934150696,0.7724395990371704,0.018518518518518517
260,random,5,tid260_f5,270,973,0.7578245997428894,0.7713815569877625,0.011111111111111112
260,scaffold,1,tid260_f1,271,972,0.6624397039413452,0.6724137663841248,0.04059040590405904
260,scaffold,2,tid260_f2,270,973,0.6875931620597839,0.699999988079071,0.018518518518518517
260,scaffold,3,tid260_f3,270,973,0.6595255732536316,0.6728002429008484,0.025925925925925925
260,scaffold,4,tid260_f4,270,973,0.6639857888221741,0.6782687902450562,0.011111111111111112
260,scaffold,5,tid260_f5,270,973,0.6436848044395447,0.6666666865348816,0.07037037037037037
260,butina,1,tid260_f1,271,972,0.49494579434394836,0.465753436088562,0.2066420664206642
260,butina,2,tid260_f2,270,973,0.5456942915916443,0.5471175312995911,0.1259259259259259
260,butina,3,tid260_f3,270,973,0.48870939016342163,0.44003593921661377,0.3074074074074074
260,butina,4,tid260_f4,270,973,0.3993527293205261,0.3333333432674408,0.5925925925925926
260,butina,5,tid260_f5,270,973,0.5321205258369446,0.5116587281227112,0.13703703703703704
260,diverse_25,1,tid260_f1,68,243,0.47892576456069946,0.5091575384140015,0.08823529411764706
260,diverse_25,2,tid260_f2,68,243,0.48090794682502747,0.5,0.10294117647058823
260,diverse_25,3,tid260_f3,67,243,0.4681378901004791,0.4923076927661896,0.11940298507462686
260,diverse_25,4,tid260_f4,67,243,0.4711238145828247,0.4848484992980957,0.14925373134328357
260,diverse_25,5,tid260_f5,67,243,0.4699057936668396,0.5058823823928833,0.16417910447761194
260,umap,1,tid260_f1,415,843,0.37346151471138,0.3466666638851166,0.5108433734939759
260,umap,2,tid260_f2,297,949,0.3811902105808258,0.3764705955982208,0.3468013468013468
260,umap,3,tid260_f3,242,999,0.361909419298172,0.35470086336135864,0.4834710743801653
260,umap,4,tid260_f4,206,1031,0.35825103521347046,0.3442623019218445,0.5242718446601942
260,umap,5,tid260_f5,191,1044,0.43691056966781616,0.4444444477558136,0.2617801047120419
260,time,1,tid260_f1,908,374,0.3586524724960327,0.3246753215789795,0.5925110132158591
260,time,2,tid260_f2,758,509,0.39050325751304626,0.3660254180431366,0.4313984168865435
260,time,3,tid260_f3,412,820,0.4551865756511688,0.42146381735801697,0.21844660194174756
260,time,4,tid260_f4,277,942,0.4794432818889618,0.4675324559211731,0.20938628158844766
260,time,5,tid260_f5,148,1058,0.5014306902885437,0.4893137216567993,0.19594594594594594
262,random,1,tid262_f1,200,720,0.720466136932373,0.7647969126701355,0.055
262,random,2,tid262_f2,200,720,0.7180253863334656,0.7612340450286865,0.07
262,random,3,tid262_f3,200,720,0.7393934726715088,0.7777777910232544,0.055
262,random,4,tid262_f4,200,720,0.7375887036323547,0.7666666507720947,0.045
