split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
random,r2,wilcoxon,chemeleon,monroe35,50,0.030563883988154895,0.03747868657920215,0.84,3.9920236538648624e-07,1.1976070961594587e-06
random,r2,wilcoxon,chemeleon,median,50,-0.6547579684182484,0.08913669606161337,0.0,1.7763568394002505e-15,1.7763568394002505e-14
random,r2,wilcoxon,monroe35,median,50,-0.6853218524064033,0.07777742650716245,0.0,1.7763568394002505e-15,1.7763568394002505e-14
random,r2,t_target,knn,lgbm,10,0.042528952888602485,0.050462492653587536,0.9,0.02582837268038717,0.02582837268038717
random,r2,t_target,knn,chemeleon,10,0.06557784004980258,0.05125060476764346,1.0,0.00290100385692235,0.00870301157076705
random,r2,t_target,knn,monroe35,10,0.09614172403795744,0.050946080603422456,1.0,0.0002107170705329165,0.000842868282131666
random,r2,t_target,knn,median,10,-0.5891801283684458,0.09113517104389382,0.0,7.480912162298596e-09,5.236638513609017e-08
random,r2,t_target,lgbm,chemeleon,10,0.023048887161200092,0.021581649141485273,0.9,0.008162299908370004,0.016324599816740008
random,r2,t_target,lgbm,monroe35,10,0.05361277114935496,0.027353363205609094,1.0,0.00015923152545653464,0.0007961576272826732
random,r2,t_target,lgbm,median,10,-0.6317090812570483,0.08041722557652006,0.0,1.3323873030543608e-09,1.0659098424434887e-08
random,r2,t_target,chemeleon,monroe35,10,0.03056388398815487,0.01487206593238129,0.9,0.00011159853683856881,0.0006695912210314129
random,r2,t_target,chemeleon,median,10,-0.6547579684182484,0.0790959515850185,0.0,8.362719827001544e-10,7.52644784430139e-09
random,r2,t_target,monroe35,median,10,-0.6853218524064033,0.0707678908957821,0.0,2.067168229029566e-10,2.067168229029566e-09
scaffold,r2,t,knn,lgbm,50,0.08469400282234293,0.12178773812539437,0.78,1.0264239636641861e-05,3.079271890992558e-05
scaffold,r2,t,knn,chemeleon,50,0.11330564199447647,0.10647851191252906,0.92,1.0261774232115301e-09,5.1308871160576504e-09
scaffold,r2,t,knn,monroe35,50,0.1573836111231174,0.12523623651996776,0.96,8.719105083569041e-12,5.231463050141425e-11
scaffold,r2,t,knn,median,50,-0.3851466082880037,0.216097301891232,0.02,5.451888250772564e-17,3.8163217755407948e-16
scaffold,r2,t,lgbm,chemeleon,50,0.028611639172133538,0.07197598123850382,0.64,0.0070834694906118986,0.0070834694906118986
scaffold,r2,t,lgbm,monroe35,50,0.07268960830077448,0.08702716568815741,0.88,3.264235712599467e-07,1.3056942850397868e-06
scaffold,r2,t,lgbm,median,50,-0.46984061111034664,0.20014604825781954,0.02,9.38764831345748e-22,7.510118650765984e-21
scaffold,r2,t,chemeleon,monroe35,50,0.04407796912864094,0.07882450638974825,0.76,0.000246960611389816,0.000493921222779632
scaffold,r2,t,chemeleon,median,50,-0.4984522502824801,0.19381962737403877,0.02,1.9822341236187662e-23,1.7840107112568895e-22
scaffold,r2,t,monroe35,median,50,-0.5425302194111211,0.16895304723274432,0.0,1.164915848636956e-27,1.164915848636956e-26
scaffold,r2,wilcoxon,knn,lgbm,50,0.08469400282234293,0.12178773812539437,0.78,1.3667570399888973e-06,4.100271119966692e-06
scaffold,r2,wilcoxon,knn,chemeleon,50,0.11330564199447647,0.10647851191252906,0.92,1.7687185049908294e-11,1.0612311029944976e-10
scaffold,r2,wilcoxon,knn,monroe35,50,0.1573836111231174,0.12523623651996776,0.96,1.5631940186722204e-13,1.0942358130705543e-12
scaffold,r2,wilcoxon,knn,median,50,-0.3851466082880037,0.216097301891232,0.02,2.022026990289305e-11,1.0612311029944976e-10
scaffold,r2,wilcoxon,lgbm,chemeleon,50,0.028611639172133538,0.07197598123850382,0.64,0.004178445711550793,0.004178445711550793
scaffold,r2,wilcoxon,lgbm,monroe35,50,0.07268960830077448,0.08702716568815741,0.88,1.7394549622906652e-07,6.957819849162661e-07
scaffold,r2,wilcoxon,lgbm,median,50,-0.46984061111034664,0.20014604825781954,0.02,3.552713678800501e-15,3.197442310920451e-14
scaffold,r2,wilcoxon,chemeleon,monroe35,50,0.04407796912864094,0.07882450638974825,0.76,0.00010867611974241242,0.00021735223948482485
scaffold,r2,wilcoxon,chemeleon,median,50,-0.4984522502824801,0.19381962737403877,0.02,5.329070518200751e-15,4.263256414560601e-14
scaffold,r2,wilcoxon,monroe35,median,50,-0.5425302194111211,0.16895304723274432,0.0,1.7763568394002505e-15,1.7763568394002505e-14
scaffold,r2,t_target,knn,lgbm,10,0.08469400282234293,0.05036593065023929,1.0,0.0004825088135843333,0.0019300352543373332
