target,split,fold,method,n,mae,r2,spearman,source
260,butina,2,pub_gnn,,0.7575161457061768,0.1871361136436462,0.6450362206781469,published
260,butina,2,pub_knn,,0.6649262482848499,0.3677166464342036,0.5831631462183868,published
260,butina,2,pub_mlp,,0.7152804732322693,0.3425704836845398,0.606326401505071,published
260,butina,2,pub_rf,,0.7707803499424613,0.2800152436446704,0.6398977760854145,published
260,butina,2,pub_svm,,0.6878731072112484,0.4025631221846082,0.6727716270093848,published
260,butina,2,pub_xgboost,,0.7571633327606372,0.2238314922790283,0.5232775709249913,published
260,butina,3,chemeleon,270.0,0.7283095878701159,0.17189160018344996,0.4347526149383556,fitted
260,butina,3,knn,270.0,0.7312151985433201,0.08424680442124965,0.4490216073670673,fitted
260,butina,3,lgbm,270.0,0.6928513675994749,0.25957689580458976,0.5149814961772217,fitted
260,butina,3,median,270.0,0.8121272343050815,-0.052943510753437284,,fitted
260,butina,3,monroe35,270.0,0.6147737133888658,0.3871284063160768,0.5991143407012804,fitted
260,butina,3,pub_gnn,,0.818200409412384,-0.0955491065979003,0.322054408100661,published
260,butina,3,pub_knn,,0.7312151991373136,0.0842468049881975,0.4490216073670673,published
260,butina,3,pub_mlp,,0.8452396392822266,-0.1130101680755615,0.2958864071562164,published
260,butina,3,pub_rf,,0.7056316028710109,0.2061137883378894,0.4269620552741366,published
260,butina,3,pub_svm,,0.7024811703371542,0.2106727969035103,0.4886744084759091,published
260,butina,3,pub_xgboost,,0.7014114560330429,0.2249668816083642,0.4493765282351123,published
260,butina,4,chemeleon,270.0,0.8960694297304829,-0.2599779644296871,0.1645919032904779,fitted
260,butina,4,knn,270.0,0.8820459406286159,-0.27782465474571705,0.26359536920088583,fitted
260,butina,4,lgbm,270.0,0.925531866672822,-0.2940602690358003,0.16192073864757597,fitted
260,butina,4,median,270.0,0.8067884466633496,-0.00032577381996445887,,fitted
260,butina,4,monroe35,270.0,0.9357818002100697,-0.35582988103244517,-0.0765711470937686,fitted
260,butina,4,pub_gnn,,0.9505882263183594,-0.4176874160766601,0.0534054958530361,published
260,butina,4,pub_knn,,0.8820459424599567,-0.277824657687894,0.2635953692008858,published
260,butina,4,pub_mlp,,1.107115626335144,-0.925610899925232,-0.0273666966106205,published
260,butina,4,pub_rf,,0.853725460499978,-0.108941753282854,0.0772668112568031,published
260,butina,4,pub_svm,,0.912584448135492,-0.320624061765753,-0.0627702817004319,published
260,butina,4,pub_xgboost,,0.8501223374151352,-0.103356157769437,0.2687971469854773,published
260,butina,5,chemeleon,270.0,0.6633844150605953,0.6001647837915558,0.7849836949415151,fitted
260,butina,5,knn,270.0,0.8338085117936007,0.3545268583961406,0.6225131588065987,fitted
260,butina,5,lgbm,270.0,0.7498527114758695,0.49694135314508625,0.7263539000378089,fitted
260,butina,5,median,270.0,1.2444123630207273,-0.09076300257676118,,fitted
260,butina,5,monroe35,270.0,0.6541683015838181,0.6079590860951238,0.7976020982194177,fitted
260,butina,5,pub_gnn,,0.8197066187858582,0.4429100155830383,0.7150375684536671,published
260,butina,5,pub_knn,,0.833808510929658,0.3545268594386782,0.6225131588065987,published
260,butina,5,pub_mlp,,0.7615386843681335,0.4655704498291015,0.7436255239291927,published
260,butina,5,pub_rf,,0.906557320922083,0.3546727570272735,0.6958187912519401,published
260,butina,5,pub_svm,,0.9473669741626688,0.2753715672985545,0.6938207383196167,published
260,butina,5,pub_xgboost,,0.765480496886974,0.4678661984188668,0.7176872715747631,published
262,butina,1,chemeleon,200.0,0.7889041178525946,0.3333771092616896,0.5435758700735843,fitted
262,butina,1,knn,200.0,0.7867213864278679,0.33345904925085423,0.600563645438228,fitted
262,butina,1,lgbm,200.0,0.7721360251848131,0.3864563493360921,0.6135993822948052,fitted
262,butina,1,median,200.0,1.0180225852439058,-0.0022455459086461182,,fitted
