endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_MDR1_ER,0,0,early,mol2vec,0.13149361143957747
LOG_MDR1_ER,0,0,early,gnn,0.6965744736249977
LOG_MDR1_ER,0,0,early,smiles,0.12259129175406944
LOG_RLM,3,3,early,rdkit,0.044414892036970466
LOG_RLM,3,3,early,mol2vec,0.06666692689593362
LOG_RLM,3,3,early,gnn,0.5388430938138303
LOG_RLM,3,3,early,smiles,0.49609194434535586
LOG_RLM,2,4,early,rdkit,0.08967032934968217
LOG_RLM,2,4,early,mol2vec,0.1571579424586113
LOG_RLM,2,4,early,gnn,0.5474982520062353
LOG_RLM,2,4,early,smiles,0.39918992544177545
LOG_RLM,3,4,early,rdkit,0.06900948849784257
LOG_RLM,3,4,early,mol2vec,0.150951927057827
LOG_RLM,3,4,early,gnn,0.5995410135637353
LOG_RLM,3,4,early,smiles,0.3313225125672683
LOG_RLM,4,2,early,rdkit,0.08570510181680227
LOG_RLM,4,2,early,mol2vec,0.19737276269907447
LOG_RLM,4,2,early,gnn,0.6456317770133513
LOG_RLM,4,2,early,smiles,0.2254387440200699
LOG_MDR1_ER,0,2,early,rdkit,0.056371323866497354
LOG_MDR1_ER,0,2,early,mol2vec,0.17278246049136609
LOG_MDR1_ER,0,2,early,gnn,0.6245787259128219
LOG_MDR1_ER,0,2,early,smiles,0.2079672533327039
LOG_MDR1_ER,0,1,early,rdkit,0.03588832810657186
LOG_MDR1_ER,0,1,early,mol2vec,0.07052876212372687
LOG_MDR1_ER,0,1,early,gnn,0.6559738457150384
LOG_MDR1_ER,0,1,early,smiles,0.18199213977405929
LOG_MDR1_ER,0,3,early,rdkit,0.06136052005905173
LOG_MDR1_ER,0,3,early,mol2vec,0.1402195096503657
LOG_MDR1_ER,0,3,early,gnn,0.6821003549581145
LOG_MDR1_ER,0,3,early,smiles,0.16851946809779778
LOG_MDR1_ER,0,4,early,rdkit,0.06149722171668594
LOG_MDR1_ER,0,4,early,mol2vec,0.1696159010740408
LOG_MDR1_ER,0,4,early,gnn,0.7157252430007881
LOG_MDR1_ER,0,4,early,smiles,0.06696814369714664
LOG_MDR1_ER,1,4,early,rdkit,0.06450427422221662
LOG_MDR1_ER,1,4,early,mol2vec,0.13262312268370588
LOG_MDR1_ER,1,4,early,gnn,0.6615909421516705
LOG_MDR1_ER,1,4,early,smiles,0.14198905083956614
LOG_MDR1_ER,2,1,early,rdkit,0.06413934780339553
LOG_MDR1_ER,2,1,early,mol2vec,0.1371445642765982
LOG_MDR1_ER,2,1,early,gnn,0.6981663227956821
LOG_MDR1_ER,2,1,early,smiles,0.14530278639024916
LOG_MDR1_ER,2,2,early,rdkit,0.02584625231425606
LOG_MDR1_ER,2,2,early,mol2vec,0.11153523448122286
LOG_MDR1_ER,2,2,early,gnn,0.5896749498307076
LOG_MDR1_ER,2,2,early,smiles,0.286457411486596
LOG_MDR1_ER,3,0,early,rdkit,0.05528169477470149
LOG_MDR1_ER,3,0,early,mol2vec,0.1239532758403365
LOG_MDR1_ER,3,0,early,gnn,0.6737435745320608
LOG_MDR1_ER,3,0,early,smiles,0.1397502130277445
LOG_MDR1_ER,1,0,early,rdkit,0.06436933834048267
LOG_MDR1_ER,1,0,early,mol2vec,0.12891386160789517
LOG_MDR1_ER,1,0,early,gnn,0.619916241415742
LOG_MDR1_ER,1,0,early,smiles,0.222687544827987
LOG_MDR1_ER,2,4,early,rdkit,0.037523924588155524
LOG_MDR1_ER,2,4,early,mol2vec,0.11868161166364484
LOG_MDR1_ER,2,4,early,gnn,0.6274459117051192
LOG_MDR1_ER,2,4,early,smiles,0.22937133886283084
LOG_MDR1_ER,1,1,early,rdkit,0.042446794090671064
LOG_MDR1_ER,1,1,early,mol2vec,0.10581189566867036
LOG_MDR1_ER,1,1,early,gnn,0.6261855267617622
LOG_MDR1_ER,1,1,early,smiles,0.1978555903270788
LOG_MDR1_ER,3,1,early,rdkit,0.055900852948113595
LOG_MDR1_ER,3,1,early,mol2vec,0.14158553354206999
LOG_MDR1_ER,3,1,early,gnn,0.6831161035393238
LOG_MDR1_ER,3,1,early,smiles,0.15443982325575445
LOG_MDR1_ER,3,2,early,rdkit,0.09033599204259804
LOG_MDR1_ER,3,2,early,mol2vec,0.18563280247632288
LOG_MDR1_ER,3,2,early,gnn,0.3501977077584265
LOG_MDR1_ER,3,2,early,smiles,0.47360245808776763
LOG_MDR1_ER,4,0,early,rdkit,0.04165056755526633
LOG_MDR1_ER,4,0,early,mol2vec,0.09579059154841799
LOG_MDR1_ER,4,0,early,gnn,0.3673508767032284
LOG_MDR1_ER,4,0,early,smiles,0.4653244613348418
LOG_MDR1_ER,1,2,early,rdkit,0.04894378638485337
LOG_MDR1_ER,1,2,early,mol2vec,0.14474723811124446
LOG_MDR1_ER,1,2,early,gnn,0.7191176779731527
LOG_MDR1_ER,1,2,early,smiles,0.11952146584095047
LOG_MDR1_ER,1,3,early,rdkit,0.035291437528793934
LOG_MDR1_ER,1,3,early,mol2vec,0.0842034925443276
LOG_MDR1_ER,1,3,early,gnn,0.7289682974390836
LOG_MDR1_ER,1,3,early,smiles,0.12042490400839753
LOG_MDR1_ER,2,0,early,rdkit,0.0655370048510851
LOG_MDR1_ER,2,0,early,mol2vec,0.10817792025576113
LOG_MDR1_ER,2,0,early,gnn,0.524106888415862
LOG_MDR1_ER,2,0,early,smiles,0.3288510562307021
LOG_HPPB,0,0,early,rdkit,0.17884744686282694
LOG_HPPB,0,0,early,mol2vec,0.41288299683336804
LOG_HPPB,0,0,early,gnn,0.29300247886387487
LOG_HPPB,0,0,early,smiles,0.8416619322027079
LOG_MDR1_ER,2,3,early,rdkit,0.047845108299683164
LOG_MDR1_ER,2,3,early,mol2vec,0.08794575052231957
LOG_MDR1_ER,2,3,early,gnn,0.7411465807518295
LOG_MDR1_ER,2,3,early,smiles,0.07261079705355736
LOG_HPPB,0,4,early,rdkit,0.13555584725565528
LOG_HPPB,0,4,early,mol2vec,0.6414325947729121
LOG_HPPB,0,4,early,gnn,0.869073164488359
LOG_HPPB,0,4,early,smiles,0.4647368602112467
LOG_MDR1_ER,3,4,early,rdkit,0.0667279951816305
LOG_MDR1_ER,3,4,early,mol2vec,0.12804641138964104
LOG_MDR1_ER,3,4,early,gnn,0.652164885724607
LOG_MDR1_ER,3,4,early,smiles,0.2089235389771831
LOG_HPPB,0,1,early,rdkit,0.1499775056349692
LOG_HPPB,0,1,early,mol2vec,0.4823997260512289
LOG_HPPB,0,1,early,gnn,0.32512508649552874
LOG_HPPB,0,1,early,smiles,1.0674224149306148
LOG_HPPB,0,3,early,rdkit,0.34812075647951435
LOG_HPPB,0,3,early,mol2vec,0.9881649019351804
LOG_HPPB,0,3,early,gnn,0.3789244364207405
LOG_HPPB,0,3,early,smiles,0.3870404828975905
LOG_HPPB,0,2,early,rdkit,0.5090034949802389
LOG_HPPB,0,2,early,mol2vec,0.8311223469664653
LOG_HPPB,0,2,early,gnn,0.29583927690254386
LOG_HPPB,0,2,early,smiles,0.3733599281854602
LOG_MDR1_ER,3,3,early,rdkit,0.04630250572401094
LOG_MDR1_ER,3,3,early,mol2vec,0.1371670507942074
LOG_MDR1_ER,3,3,early,gnn,0.7334943202432203
LOG_MDR1_ER,3,3,early,smiles,0.08922322420808289
LOG_MDR1_ER,4,1,early,rdkit,0.07459789362355948
LOG_MDR1_ER,4,1,early,mol2vec,0.1857434878483984
LOG_MDR1_ER,4,1,early,gnn,0.5957724681801579
LOG_MDR1_ER,4,1,early,smiles,0.2214707014413803
LOG_HPPB,1,0,early,rdkit,0.12066728677275984
LOG_HPPB,1,0,early,mol2vec,0.3735412955307901
LOG_HPPB,1,0,early,gnn,0.1997645231123657
LOG_HPPB,1,0,early,smiles,0.9896989192358527
LOG_MDR1_ER,4,2,early,rdkit,0.04057000082637233
LOG_MDR1_ER,4,2,early,mol2vec,0.13925932308486416
LOG_MDR1_ER,4,2,early,gnn,0.7363940345592099
LOG_MDR1_ER,4,2,early,smiles,0.07067575712430306
LOG_HPPB,1,1,early,rdkit,0.5470857708160601
LOG_HPPB,1,1,early,mol2vec,0.935841990480293
LOG_HPPB,1,1,early,gnn,0.4545887320262211
LOG_HPPB,1,1,early,smiles,0.3294530747705799
