endpoint,method,combo,fusion,learner,n_modalities,n_train,fit_seconds,encoder_seconds,total_seconds
LOG_SOL,fus_GRM_late_rf,GRM,late,rf,3,1235,0.3250007629394531,6.708379745483398,7.033380508422852
LOG_SOL,fus_GRM_late_attfp,GRM,late,attfp,3,1235,4.356271743774414,6.708379745483398,11.064651489257812
LOG_SOL,fus_GRS_early_lgbm,GRS,early,lgbm,3,1235,0.4353218078613281,7.617856740951538,8.053178548812866
LOG_SOL,fus_GRS_early_rf,GRS,early,rf,3,1235,0.5961875915527344,7.617856740951538,8.214044332504272
LOG_SOL,fus_GRS_early_attfp,GRS,early,attfp,3,1235,2.7299747467041016,7.617856740951538,10.34783148765564
LOG_SOL,fus_GRS_late_lgbm,GRS,late,lgbm,3,1235,0.043729305267333984,7.617856740951538,7.661586046218872
LOG_SOL,fus_GRS_late_rf,GRS,late,rf,3,1235,0.1494276523590088,7.617856740951538,7.767284393310547
LOG_SOL,fus_GRS_late_attfp,GRS,late,attfp,3,1235,4.0164899826049805,7.617856740951538,11.634346723556519
LOG_SOL,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,1235,0.6329758167266846,7.617856740951538,8.250832557678223
LOG_SOL,fus_GRMS_early_rf,GRMS,early,rf,4,1235,0.9722690582275391,7.617856740951538,8.590125799179077
LOG_SOL,fus_GRMS_early_attfp,GRMS,early,attfp,4,1235,5.262857675552368,7.617856740951538,12.880714416503906
LOG_SOL,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,1235,0.2458345890045166,7.617856740951538,7.863691329956055
LOG_SOL,fus_GRMS_late_rf,GRMS,late,rf,4,1235,0.3453855514526367,7.617856740951538,7.963242292404175
LOG_SOL,fus_GRMS_late_attfp,GRMS,late,attfp,4,1235,4.060053825378418,7.617856740951538,11.677910566329956
LOG_HLM,uni_R_lgbm,R,unimodal,lgbm,1,1718,0.07539749145507812,0.0,0.07539749145507812
LOG_HLM,uni_R_rf,R,unimodal,rf,1,1718,3.805417776107788,0.0,3.805417776107788
LOG_HLM,uni_M_lgbm,M,unimodal,lgbm,1,1718,0.4791891574859619,0.0,0.4791891574859619
LOG_HLM,uni_M_rf,M,unimodal,rf,1,1718,11.904756784439087,0.0,11.904756784439087
LOG_HLM,uni_G_lgbm,G,unimodal,lgbm,1,1718,0.18232083320617676,10.093013763427734,10.275334596633911
LOG_HLM,uni_G_rf,G,unimodal,rf,1,1718,0.14541363716125488,10.093013763427734,10.23842740058899
LOG_HLM,uni_S_lgbm,S,unimodal,lgbm,1,1718,0.5384616851806641,1.9337172508239746,2.4721789360046387
LOG_HLM,uni_S_rf,S,unimodal,rf,1,1718,0.4856722354888916,1.9337172508239746,2.419389486312866
LOG_HLM,uni_G_attfp,G,unimodal,attfp,1,1718,3.5762786865234375e-06,10.093013763427734,10.093017339706421
LOG_HLM,fus_GR_early_lgbm,GR,early,lgbm,2,1718,0.31709790229797363,10.093013763427734,10.410111665725708
LOG_HLM,fus_GR_early_rf,GR,early,rf,2,1718,0.6063051223754883,10.093013763427734,10.699318885803223
LOG_HLM,fus_GR_early_attfp,GR,early,attfp,2,1718,10.005808591842651,10.093013763427734,20.098822355270386
LOG_HLM,fus_GR_late_lgbm,GR,late,lgbm,2,1718,0.0905606746673584,10.093013763427734,10.183574438095093
LOG_HLM,fus_GR_late_rf,GR,late,rf,2,1718,0.15070676803588867,10.093013763427734,10.243720531463623
LOG_HLM,fus_GR_late_attfp,GR,late,attfp,2,1718,6.828774690628052,10.093013763427734,16.921788454055786
LOG_HLM,fus_GRM_early_lgbm,GRM,early,lgbm,3,1718,0.2151477336883545,10.093013763427734,10.308161497116089
