endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_HLM,fus_GR_late_lgbm,2,5,929,0.10535805070682808,0.24755460825216746,0.2466992761866916,0.24655062670308464
LOG_HLM,fus_GR_late_lgbm,3,5,929,0.1125055616004213,0.30356365277254255,0.2397453619332929,0.2391273311217462
LOG_HLM,fus_GR_late_lgbm,4,5,929,0.11863808466329462,0.2202374181832518,0.23624913281751106,0.2369185563124176
LOG_HLM,fus_GR_late_rf,0,5,929,0.12460276631838962,0.28567483760345674,0.22523924565918313,0.22450636693670734
LOG_HLM,fus_GR_late_rf,1,5,929,0.12230984205955774,0.280307513065032,0.23003913412825275,0.2298826065224841
LOG_HLM,fus_GR_late_rf,2,5,929,0.11414940544660021,0.25603673890399437,0.2361673289806666,0.23606460165907545
LOG_HLM,fus_GR_late_rf,3,5,929,0.12436408039145157,0.3181937404146427,0.22824818221363746,0.22837783271076234
LOG_HLM,fus_GR_late_rf,4,5,929,0.1338985933476543,0.20727785216338687,0.22111414028544393,0.22173886493552725
LOG_HLM,lgbm,0,5,929,0.11779907348391298,0.10300405927038,0.264670162058265,0.2707928806780599
LOG_HLM,lgbm,1,5,929,0.11890252306469354,0.10931782326836607,0.2638527167914781,0.268855017099958
LOG_HLM,lgbm,2,5,929,0.11876306623951953,0.08935103889162518,0.2642150186030574,0.2702930835190367
LOG_HLM,lgbm,3,5,929,0.11483497085837222,0.0773125967554887,0.2680723960167182,0.272403534779143
LOG_HLM,lgbm,4,5,929,0.11545168501806691,0.11603266049776943,0.26878255485088987,0.2732564472323073
LOG_HLM,uni_G_attfp,0,5,929,0.14029559938938438,0.17755363500872232,0.19821769404966297,0.20445850735736507
LOG_HLM,uni_G_attfp,1,5,929,0.13067223776236725,0.22269486806037794,0.20718445039405547,0.2103125772325044
LOG_HLM,uni_G_attfp,2,5,929,0.14154716154183156,0.19629756101871051,0.19916637996367703,0.20501500838351447
LOG_HLM,uni_G_attfp,3,5,929,0.12726265171608825,0.1714462407143758,0.20826727869126602,0.21247422877445377
LOG_HLM,uni_G_attfp,4,5,929,0.12877440005287924,0.09307343535731866,0.22181242116356753,0.22677837252138017
LOG_HLM,uni_G_lgbm,0,5,929,0.13971568832098108,0.2300244767303639,0.19829904630296638,0.1993834517306806
LOG_HLM,uni_G_lgbm,1,5,929,0.12383066874755959,0.27963111159341747,0.21250515611910836,0.21251785287184727
LOG_HLM,uni_G_lgbm,2,5,929,0.13947045105988046,0.24330066294342345,0.20085934391487384,0.20085031990503424
LOG_HLM,uni_G_lgbm,3,5,929,0.12273012509179682,0.24270001471345856,0.2123695321911378,0.2133105015041387
LOG_HLM,uni_G_lgbm,4,5,929,0.1244776471824878,0.18079055139318892,0.22064741139446628,0.22160317166304325
LOG_HLM,uni_G_rf,0,5,929,0.14230624224049568,0.25243208006843715,0.19163137735134372,0.19257275349358496
LOG_HLM,uni_G_rf,1,5,929,0.12265594315432189,0.2763088093381565,0.2096401021798714,0.21008619632974793
LOG_HLM,uni_G_rf,2,5,929,0.13953308473621498,0.2600621411688946,0.1963685651234136,0.19711099161711718
LOG_HLM,uni_G_rf,3,5,929,0.1249436546642612,0.2517019754125329,0.20573091813227068,0.20637298048405497
LOG_HLM,uni_G_rf,4,5,929,0.12699406041024786,0.17828268629109773,0.21510243410180446,0.21617962902739285
LOG_HLM,uni_M_lgbm,0,5,929,0.12071562031813039,0.03474036434046829,0.2698770536824626,0.2716334748199043
LOG_HLM,uni_M_lgbm,1,5,929,0.12079427114543771,0.13099927545207737,0.27364005306551836,0.27553480596456487
LOG_HLM,uni_M_lgbm,2,5,929,0.12338006561241968,0.05438711142481505,0.26875203022065763,0.27121587581910966
LOG_HLM,uni_M_lgbm,3,5,929,0.12289799620921643,0.05119949301218473,0.26890139938178576,0.27201759105971823
LOG_HLM,uni_M_lgbm,4,5,929,0.12282519382291432,0.11791871428288124,0.26926285218984763,0.27206339693292836
LOG_HLM,uni_M_rf,0,5,929,0.06424812268806314,0.05537060026318143,0.3533569888422172,0.35316015047701105
