endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_HLM,chemprop,0,0,929,0.3935280434858157,0.6550534151950215,0.364924641876211
LOG_HLM,chemprop,0,1,929,0.4008779545309129,0.6596532513881859,0.3648972953315393
LOG_HLM,chemprop,0,2,929,0.38988003720996767,0.6517158575127037,0.36723530716792246
LOG_HLM,chemprop,0,3,929,0.39272919300034526,0.6612228158429988,0.36051479933799785
LOG_HLM,chemprop,0,4,929,0.40023971988174145,0.6700488341097245,0.36905503547147467
LOG_HLM,chemprop,1,0,929,0.38938333676897363,0.6495111144626391,0.3703282515532831
LOG_HLM,chemprop,1,1,929,0.4026773292615925,0.6666878528120493,0.35379938931862215
LOG_HLM,chemprop,1,2,929,0.41532415829325986,0.6723208564647108,0.356509126853606
LOG_HLM,chemprop,1,3,929,0.37376065054004115,0.6543559001712168,0.3684843849461787
LOG_HLM,chemprop,1,4,929,0.37834561856709514,0.6518214573967857,0.36674451624004306
LOG_HLM,chemprop,2,0,929,0.37843587442654636,0.6505497486978435,0.3702235748406889
LOG_HLM,chemprop,2,1,929,0.4010758177770919,0.6546992896130842,0.36758882501506995
LOG_HLM,chemprop,2,2,929,0.4327974627744493,0.6771030172204622,0.3510315482034445
LOG_HLM,chemprop,2,3,929,0.3826710345247031,0.6538266403552968,0.3684884665349838
LOG_HLM,chemprop,2,4,929,0.4261312502033714,0.6768655389651824,0.35100999889235734
LOG_HLM,chemprop,3,0,929,0.3817614285520661,0.650899561601167,0.3707763028557589
LOG_HLM,chemprop,3,1,929,0.3954328415065631,0.6555434508952407,0.36223972824004297
LOG_HLM,chemprop,3,2,929,0.38008251297965523,0.6470845873592215,0.3688416312389666
LOG_HLM,chemprop,3,3,929,0.40934005753579894,0.6631669911031638,0.3615488474155005
LOG_HLM,chemprop,3,4,929,0.3841293732430313,0.654270261611211,0.3687773510279871
LOG_HLM,chemprop,4,0,929,0.41286333028543853,0.670635738038382,0.35355435487298165
LOG_HLM,chemprop,4,1,929,0.41949403976800925,0.6699322272535053,0.3617213489354144
LOG_HLM,chemprop,4,2,929,0.3869845433748843,0.6529235593794047,0.3673665803412271
LOG_HLM,chemprop,4,3,929,0.4109254597497297,0.6657463525513244,0.359132181540366
LOG_HLM,chemprop,4,4,929,0.36026665572342864,0.6382331789564323,0.3767266554198062
LOG_HLM,chemprop_st,0,0,929,0.35698886978862054,0.6383505855574936,0.37132800312055975
LOG_HLM,chemprop_st,0,1,929,0.3588294098094994,0.6328444262867327,0.37915048308611415
LOG_HLM,chemprop_st,0,2,929,0.3891340259969317,0.6557470123629023,0.36096404543702904
LOG_HLM,chemprop_st,0,3,929,0.3895497698733916,0.6616187394808658,0.3608408421151776
LOG_HLM,chemprop_st,0,4,929,0.36452726920798106,0.631940259548443,0.3764993828794403
LOG_HLM,chemprop_st,1,0,929,0.4147645109006092,0.6664406254734245,0.3573677000441335
LOG_HLM,chemprop_st,1,1,929,0.3539484892196514,0.6247396883326506,0.3767434874262648
LOG_HLM,chemprop_st,1,2,929,0.37397210543432324,0.6582778865476355,0.3623472417556512
LOG_HLM,chemprop_st,1,3,929,0.390336721436909,0.6634586815508756,0.3587063496027987
LOG_HLM,chemprop_st,1,4,929,0.36856177728388007,0.6492730515660684,0.36549133706243275
LOG_HLM,chemprop_st,2,0,929,0.3790010278137925,0.6638789019696645,0.3604709315016146
LOG_HLM,chemprop_st,2,1,929,0.34784783892700244,0.6280122824969783,0.3877315315618945
LOG_HLM,chemprop_st,2,2,929,0.41227827914850035,0.6713929244375819,0.3492244336350915
LOG_HLM,chemprop_st,2,3,929,0.34907371713867175,0.6456026052068882,0.3674157369569429
LOG_HLM,chemprop_st,2,4,929,0.43230852098768235,0.6912883055317878,0.3433823862787944
LOG_HLM,chemprop_st,3,0,929,0.35315023615852437,0.6405207892149287,0.37408640394467163
LOG_HLM,chemprop_st,3,1,929,0.37796822885357706,0.6582625340191904,0.3585596100161464
LOG_HLM,chemprop_st,3,2,929,0.3692044908374865,0.6523617798407693,0.3679936192238967
LOG_HLM,chemprop_st,3,3,929,0.40993338832581727,0.6635005327560136,0.3563565767395049
LOG_HLM,chemprop_st,3,4,929,0.38998876194192067,0.6638518262444246,0.3605425090021528
LOG_HLM,chemprop_st,4,0,929,0.3990690222093315,0.6650604088694339,0.35434089821205594
